obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,line_ref
595.7736,0.0005,595.77453,0.00014,65,L2372
595.8072,0.0005,595.806904,2.2e-05,39,L2372
596.0372,0.0005,596.03695,3e-05,52,L2372
596.19646,5e-05,596.196463,6e-06,220,L5951
596.21752,0.00018,596.217288,1.1e-05,100,L12239
597.2789,0.0005,597.278031,1.8e-05,52,L2372
597.48618,7e-05,597.48612,4e-05,97,L5951
597.6118,0.0005,597.612667,1.5e-05,13,L2372
597.6437,0.0005,597.642838,1.8e-05,39,L2372
597.8069,0.0005,597.807528,1.5e-05,65,L2372
598.1385,0.0005,598.13814,1.5e-05,13,L2372
598.18847,5e-05,598.18847,1.1e-05,220,L5951
598.39994,0.00021,598.399088,1.8e-05,47,L12239
598.52082,0.00021,598.520883,1.5e-05,49,L12239
598.904476,5e-06,598.904476,5e-06,3700,L18702
598.92,0.0005,598.920781,1.5e-05,0,L2372
598.9893,0.0005,598.9894,3e-05,13,L2372
598.9987,0.0005,598.999207,1.8e-05,13,L2372
599.0265,0.0003,599.026659,1.5e-05,36,L12239
599.1711,0.0005,599.170921,8e-06,26,L2372
599.3268,0.0005,599.32731,0.00022,39,L2372
599.8655,0.0005,599.865843,9e-06,39,L2372
600.23664,0.00022,600.235926,1.1e-05,50,L12239
600.7591,0.0005,600.75891,3e-05,52,L2372
600.9113,0.0005,600.911038,2.2e-05,65,L2372
601.1349,0.0005,601.135067,1.8e-05,330,L2372
601.542178,2.2e-05,601.542187,1.1e-05,610,L18702
601.5769,0.0005,601.57669,4e-05,13,L2372
601.89934,5e-05,601.899401,1.1e-05,220,L5951
601.9215,0.0005,601.921451,1.5e-05,13,L2372
602.14113,5e-05,602.141164,2.2e-05,250,L5951
602.2149,0.0005,602.21418,3e-05,53,L2372
602.2223,0.0005,602.22204,3e-05,110,L2372
602.4934,0.0005,602.49326,3e-05,110,L2372
602.5616,0.0005,602.561416,1.5e-05,53,L2372
602.6238,0.0003,602.62475,6e-05,19,L12239
602.7481,0.0005,602.748232,1.1e-05,66,L2372
602.7952,0.0005,602.795215,1.5e-05,26,L2372
602.8863,0.0005,602.886463,1.8e-05,130,L2372
603.0808,0.0005,603.08124,4e-05,13,L2372
603.1911,0.0005,603.190847,1.5e-05,130,L2372
603.23172,5e-05,603.231742,8e-06,230,L5951
603.2432,0.0005,603.243814,1.8e-05,0,L2372
603.2665,0.0005,603.267367,1.8e-05,0,L2372
603.3189,0.0003,603.31824,5e-05,23,L12239
603.4139,0.0005,603.41356,3e-05,13,L2372
603.4541,0.00015,603.454004,1.8e-05,160,L12239
603.8308,0.0005,603.830896,1.5e-05,40,L2372
604.012,0.0005,604.01201,3e-05,40,L2372
604.143,0.0004,604.14236,0.00015,12,L12239
604.1628,0.0005,604.162576,1.9e-05,67,L2372
604.2961,5e-05,604.296017,1.1e-05,170,L5951
604.44328,1.5e-05,604.443272,7e-06,840,L18702
604.5467,0.0005,604.547413,2.2e-05,26,L2372
604.8174,0.0005,604.81641,6e-05,40,L2372
604.97721,6e-05,604.977282,1.1e-05,140,L5951
604.9925,0.0005,604.99283,3e-05,110,L2372
605.4535,0.0005,605.4538,3e-05,27,L2372
605.516,0.0005,605.516,4e-05,40,L2372
605.81813,6e-05,605.818138,1.1e-05,190,L5951
605.8273,0.0005,605.82727,3e-05,40,L2372
605.86123,7e-05,605.861294,1.5e-05,100,L5951
605.9535,0.0005,605.953852,1.5e-05,27,L2372
606.023,0.0005,606.023382,2.2e-05,40,L2372
606.1486,0.0005,606.14898,1.5e-05,40,L2372
606.2431,0.0005,606.243294,1.9e-05,40,L2372
606.2614,0.0005,606.26157,3e-05,200,L2372
606.3068,0.0005,606.30692,4e-05,110,L2372
606.3355,0.0005,606.33586,3e-05,27,L2372
606.633,0.0005,606.63197,4e-05,54,L2372
606.64973,6e-05,606.64968,3e-05,190,L5951
606.70803,5e-05,606.708052,1.1e-05,200,L5951
606.8043,0.0005,606.804779,2.2e-05,27,L2372
607.0034,0.0005,607.00353,1.5e-05,54,L2372
607.0892,0.0005,607.09007,6e-05,40,L2372
607.1415,0.0005,607.142053,1.5e-05,27,L2372
607.310351,1.8e-05,607.310364,8e-06,750,L18702
607.371,0.0005,607.37146,3e-05,40,L2372
607.6196,0.0003,607.619658,1.9e-05,13,L12239
607.6639,0.0005,607.664259,2.2e-05,40,L2372
607.73666,0.00018,607.736435,1.9e-05,120,L12239
607.8588,0.0005,607.85927,3e-05,68,L2372
607.89717,7e-05,607.89717,1e-05,110,L5951
608.52554,4e-05,608.525563,9e-06,450,L5951
608.543,0.0005,608.54351,3e-05,27,L2372
608.5998,0.0005,608.600813,2.2e-05,54,L2372
608.72622,3e-05,608.726226,9e-06,1000,L5951
608.7387,0.0005,608.740255,2.2e-05,41,L2372
608.7576,0.0005,608.758621,2.2e-05,0,L2372
609.01119,8e-05,609.011379,2.2e-05,90,L5951
609.0816,0.0005,609.081108,8e-06,110,L2372
609.71945,6e-05,609.719336,1.2e-05,130,L5951
609.908329,1.5e-05,609.908322,9e-06,830,L18702
609.9804,0.0005,609.98078,3e-05,41,L2372
610.0578,0.0005,610.05848,2.3e-05,13,L2372
610.36417,4e-05,610.364137,1.2e-05,270,L5951
610.45823,3e-05,610.458237,1.2e-05,1000,L5951
610.6613,0.0003,610.661206,8e-06,26,L12239
610.8411,0.0005,610.84079,4e-05,140,L2372
610.8922,0.0005,610.891856,1.2e-05,41,L2372
611.28376,1.1e-05,611.283752,6e-06,1300,L18702
611.39635,0.00022,611.396331,9e-06,54,L12239
612.055662,2.2e-05,612.055648,9e-06,610,L18702
612.2337,0.0005,612.232999,1.5e-05,0,L2372
612.27477,0.00022,612.275354,2.3e-05,42,L12239
612.4675,0.0005,612.46682,3e-05,14,L2372
612.57396,5e-05,612.573904,1e-05,250,L5951
613.19636,8e-05,613.196451,1.5e-05,94,L5951
613.2219,0.0003,613.221929,1.2e-05,22,L12239
613.4794,0.0005,613.479811,1.5e-05,29,L2372
613.5151,0.0003,613.51353,5e-05,14,L12239
613.8526,0.0005,613.851747,2.3e-05,0,L2372
613.86465,4e-05,613.864643,1.2e-05,340,L5951
614.4565,0.0003,614.45621,9e-05,22,L12239
614.52833,5e-05,614.528281,8e-06,280,L5951
614.6272,0.0005,614.627019,2.3e-05,14,L2372
614.7454,0.0005,614.746681,1.9e-05,43,L2372
614.8788,0.0003,614.87786,7e-05,23,L12239
615.4119,0.0005,615.41342,3e-05,0,L2372
615.906,0.0003,615.90499,3e-05,30,L12239
615.984,0.0005,615.984137,2.3e-05,0,L2372
616.3249,0.0005,616.325208,1.6e-05,14,L2372
616.7059,0.0005,616.70624,5e-05,0,L2372
616.858,0.0005,616.85913,3e-05,29,L2372
617.0871,0.0003,617.08641,6e-05,16,L12239
617.2044,0.0005,617.205271,1e-05,15,L2372
617.7072,0.0003,617.70765,0.00011,19,L12239
617.8549,0.0005,617.855181,2.3e-05,0,L2372
617.8885,0.0005,617.88872,3e-05,45,L2372
