obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"380.0457"	"380.04565"	"60"	""			
"380.0816"	"380.08144"	"12"	""			
"380.1013"	"380.10143"	"12"	""			
"380.283"	"380.28292"	"5"	""			
"380.6252"	"380.625004"	"120"	"1.3e+06"	D		
"381.84236"	"381.842374"	"200"	"6.1e+07"	D		
"382.3157"	"382.31564"	"100"	""			
"382.975030"	"382.975031"	"240"	"8.4e+07"	D		
"384.0500"	"384.05008"	"140"	""			
"385.7812"	"385.78220"	"60"	""			
"386.893"	"386.8932"	"8"	""			
"389.6847"	"389.68471"	"100"	""			
""	"390.384818"	""	"8.4e+04"	D		
"393.0298"	"393.02953"	"12"	""			
"393.3469"	"393.34655"	"180"	""			
"394.2258"	"394.226442"	"160"	"1.0e+06"	D		
"395.8038"	"395.80404"	"22"	""			
"397.140"	"397.1382"	"10"	""			
"397.3455"	"397.34570"	"12"	""			
"398.5725"	"398.57260"	"160"	""			
"399.9471"	"399.947190"	"100"	"3.7e+05"	D		
"401.068"	"401.0693"	"10"	""			
"402.242"	"402.24275"	"5"	""			
"402.4043"	"402.40420"	"80"	""			
"405.443"	"405.4425"	"6"	""			
"406.29730"	"406.29730"	"160"	""			
"408.0510"	"408.05144"	"140"	""			
"408.6772"	"408.67686"	"80"	""			
"409.8732"	"409.87318"	"12"	""			
"409.88645"	"409.88638"	"160"	""			
"410.0353"	"410.03522"	"120"	""			
"410.191"	"410.19268"	"12w"	""			
"411.2394"	"411.23950"	"100"	""			
"411.413"	"411.4094"	"16"	""			
"411.8199"	"411.81966"	"80"	""			
"413.3691"	"413.36898"	"180"	""			
"413.3868"	"413.38703"	"60"	""			
"415.06893"	"415.06899"	"180"	""			
"418.665"	"418.66618"	"40w"	""			
"420.5596"	"420.55929"	"80"	""			
"420.6501"	"420.65014"	"100"	""			
""	"421.70682"	""	"7.4e+06"	D		
"421.71702"	"421.71706"	"180"	""			
"421.9367"	"421.93658"	"160"	"3.3e+07"	D		
"421.97452"	"421.97453"	"300"	""			
"422.08935"	"422.08938"	"180"	""			
"422.1086"	"422.10860"	"120"	"1.4e+07"	D		
"422.4473"	"422.44721"	"100"	""			
"422.4641"	"422.46410"	"120"	"1.9e+07"	D		
""	"422.69201"	""	"7.3e+05"	D		
"423.15332"	"423.15332"	"160bl"	"2.2e+07"	D		
"423.16362"	"423.16363"	"180bl"	""			
"423.38466"	"423.38466"	"200"	"5.5e+06"	D		
"423.99190"	"423.99110"	"160"	"1.5e+07"	D		
"424.01049"	"424.01049"	"180"	""			
"424.2038"	"424.20386"	"60"	""			
"424.2210"	"424.22089"	"120"	"1.9e+07"	D		
""	"424.28635"	""	"4.8e+06"	D		
""	"424.29461"	""	"3.3e+07"	D		
"425.06469"	"425.06465"	"240"	"9.0e+06"	D		
"425.7181"	"425.7180"	"80"	""			
"425.7395"	"425.7399"	"80"	""			
"425.78024"	"425.78019"	"180"	"9.6e+06"	D		
"426.2442"	"426.2456"	"40"	""			
"426.7382"	"426.73917"	"60"	""			
""	"428.04373"	""	"2.8e+06"	D		
""	"428.05813"	""	"2.0e+07"	D		
"429.0374"	"429.0374"	"180"	""			
"429.0602"	"429.0603"	"160"	""			
"429.427"	"429.42848"	"19"	""			
"429.8094"	"429.80971"	"12"	""			
"432.2371"	"432.2372"	"160"	""			
"432.2742"	"432.27454"	"140"	""			
"432.462"	"432.46132"	"30"	""			
"432.5232"	"432.5235"	"120"	""			
"433.98209"	"433.98191"	"160"	""			
"434.0020"	"434.00180"	"40"	""			
"434.1514"	"434.15126"	"160"	""			
"434.2198"	"434.22068"	"22"	""			
"434.6239"	"434.6237"	"160"	""			
"434.9135"	"434.9134"	"40w"	""			
""	"436.56320"	""	"1.2e+06"	D		
"436.5745"	"436.57441"	"160"	""			
"436.9862"	"436.98611"	"240"	"3.5e+06"	D		
"437.79830"	"437.79839"	"180"	""			
"437.9400"	"437.93989"	"140bl"	"2.0e+07"	D		
"437.95496"	"437.954965"	"300"	"2.2e+08"	D		
"438.41079"	"438.41063"	"180"	""			
"438.4223"	"438.42194"	"80"	""			
""	"438.49757"	""	"1.8e+07"	D		
"438.50642"	"438.50639"	"200"	"2.0e+08"	D		
"439.19902"	"439.19902"	"400"	""			
""	"439.19941"	""	"2.4e+07"	D		
"439.6313"	"439.63121"	"120"	""			
"439.79902"	"439.79902"	"300"	""			
"440.929872"	"440.929870"	"300"	""			
"440.9778"	"440.97756"	"40w"	""			
"441.220"	"441.21759"	"80w"	""			
"441.2591"	"441.25909"	"180"	""			
"441.3113"	"441.31049"	"160*"	"2.0e+08"	D		
"441.3113"	"441.31258"	"160*"	""			
"441.32150"	"441.32151"	"200"	""			
"441.67552"	"441.67570"	"160"	""			
"442.13888"	"442.13894"	"200"	""			
"442.7108"	"442.71080"	"60"	""			
"442.84075"	"442.84080"	"160bl"	""			
"442.8520"	"442.8505"	"200bl*"	""			
"442.8520"	"442.85207"	"200bl*"	"3.3e+07"	D		
"442.8520"	"442.85210"	"200bl*"	""			
"442.86359"	"442.86361"	"200bl"	""			
"442.9640"	"442.96403"	"180"	""			
"443.09018"	"443.09012"	"300bl"	""			
"443.09417"	"443.09418"	"300bl"	""			
"443.1105"	"443.11086"	"12"	"2.1e+07"	D		
"443.1810"	"443.1809"	"160*"	""			
"443.1810"	"443.1811"	"160*"	""			
"443.2303"	"443.2305"	"160"	""			
"443.6979"	"443.69777"	"100"	""			
"443.92525"	"443.92528"	"180"	""			
"443.94610"	"443.94610"	"180"	""			
"443.99914"	"443.99904"	"180"	""			
"444.0804"	"444.08039"	"80"	""			
""	"444.10908"	""	"3.4e+05"	D		
"444.26865"	"444.26878"	"180"	"3.5e+06"	D		
"444.64398"	"444.64418"	"180"	""			
""	"444.66507"	""	"5.2e+06"	D		
"445.2607"	"445.2606"	"140"	""			
"445.6445"	"445.6442"	"80"	""			
"445.70473"	"445.70479"	"240"	""			
"445.7242"	"445.72344"	"100*"	""			
"445.7242"	"445.72621"	"100*"	""			
"445.73507"	"445.73513"	"160"	""			
"446.6037"	"446.60346"	"40bl"	""			
"446.7735"	"446.77371"	"40"	""			
"446.89132"	"446.89127"	"180"	""			
"447.1586"	"447.15861"	"160"	""			
"447.5390"	"447.53892"	"60"	""			
"447.74"	"447.74241"	""	""			
"447.7934"	"447.7935"	"22"	""			
"449.6243"	"449.62438"	"60"	"2.1e+06"	D		
"449.89247"	"449.89253"	"180"	""			
"449.91166"	"449.91169"	"180"	""			
"450.81286"	"450.81279"	"180"	""			
"451.1420"	"451.1420"	"160"	""			
"451.1478"	"451.1478"	"160"	""			
"451.4884"	"451.48813"	"140"	""			
"451.6663"	"451.66595"	"60"	""			
"451.7329"	"451.7327"	"80"	""			
""	"451.73974"	"m"	""			
"451.7404"	"451.7404"	"120"	""			
"451.78334"	"451.78324"	"160"	""			
"452.2314"	"452.23094"	"60"	""			
"452.24"	"452.25125"	""	""			
"452.2524"	"452.25300"	"12"	""			
"452.27191"	"452.27189"	"200"	""			
"452.6458"	"452.64518"	"80w"	""			
"452.8483"	"452.84819"	"160"	""			
