obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,line_ref,Aki(s^-1),Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k
"=""638.93753""","=""0.00010""","=""638.937757""","=""0.000013""","=""100bl""",,"=""""","=""15618.98461""","=""31265.63604""","=""5f.6d2.7s""","=""5H*""","=""3""","=""""","=""""","=""3"""
"=""638.93901""","=""0.00003""","=""638.939199""","=""0.000010""","=""590bl""",,"=""""","=""19503.143490""","=""35149.75961""","=""6d2.7s.7p""","=""5F*""","=""3""","=""""","=""""","=""2"""
"=""638.94839""","=""0.00025""","=""638.947952""","=""0.000017""","=""47""",,"=""""","=""23306.82782""","=""38953.2296""","=""5f.6d2.7s""","=""3I*""","=""6""","=""""","=""""","=""5"""
"=""639.01290""","=""0.00005""","=""639.012918""","=""0.000009""","=""240""",,"=""""","=""11802.93238""","=""27447.74347""","=""6d3.(4P).7s""","=""5P""","=""2""","=""""","=""*""","=""2"""
"=""639.0389""","=""0.0004""","=""639.039105""","=""0.000017""","=""10""",,"=""""","=""20566.62381""","=""36210.7938""","=""6d2.7s.7p""","=""5D*""","=""4""","=""""","=""""","=""5"""
"=""639.11775""","=""0.00007""","=""639.117723""","=""0.000005""","=""160""",,"=""""","=""14206.91694""","=""29849.16255""","=""5f.6d.7s2""","=""3F*""","=""4""","=""""","=""""","=""4"""
"=""639.23685""","=""0.00007""","=""639.236864""","=""0.000025""","=""140""",,"=""""","=""21594.67329""","=""37234.0035""","=""6d3.(2F).7s""","=""1F""","=""3""","=""""","=""*""","=""2"""
"=""639.3199""","=""0.0003""","=""639.320352""","=""0.000010""","=""16""",,"=""""","=""18809.88631""","=""34447.17423""","=""6d2.7s.7p""","=""5G*""","=""4""","=""""","=""""","=""4"""
"=""639.404950""","=""0.000025""","=""639.404974""","=""0.000006""","=""510""",,"=""""","=""13297.43316""","=""28932.65158""","=""6d3.(2G).7s""","=""3G""","=""4""","=""""","=""*""","=""4"""
"=""639.4589""","=""0.0004""","=""639.459157""","=""0.000013""","=""29""",,"=""""","=""19948.395175""","=""35582.2888""","=""6d2.7s.7p""","=""5F*""","=""4""","=""""","=""""","=""5"""
"=""639.50479""","=""0.00016""","=""639.504743""","=""0.000010""","=""120""",,"=""""","=""19516.98043""","=""35149.75961""","=""6d2.7s.7p""","=""5D*""","=""2""","=""""","=""""","=""2"""
"=""639.5279""","=""0.0004""","=""639.528764""","=""0.000008""","=""29""",,"=""""","=""12847.96912""","=""28480.16113""","=""6d3.(4P).7s""","=""5P""","=""3""","=""""","=""*""","=""4"""
"=""639.6518""","=""0.0004""","=""639.652146""","=""0.000017""","=""29""",,"=""""","=""15970.09583""","=""31599.2726""","=""6d3.(2D2).7s""","=""""","=""3""","=""""","=""*""","=""2"""
"=""639.67158""","=""0.00020""","=""639.672196""","=""0.000021""","=""76""",,"=""""","=""23655.13881""","=""39283.8257""","=""""","=""*""","=""4""","=""""","=""""","=""4"""
"=""639.69500""","=""0.00004""","=""639.694900""","=""0.000006""","=""590""",,"=""""","=""14206.91694""","=""29835.04913""","=""5f.6d.7s2""","=""3F*""","=""4""","=""""","=""""","=""3"""
"=""639.74537""","=""0.00007""","=""639.745211""","=""0.000008""","=""140""",,"=""""","=""15618.98461""","=""31245.88778""","=""5f.6d2.7s""","=""5H*""","=""3""","=""""","=""""","=""2"""
"=""639.7610""","=""0.0003""","=""639.76256""","=""0.00003""","=""15i""",,"=""""","=""27260.16801""","=""42886.6475""","=""""","=""*""","=""3""","=""""","=""""","=""4 or 5"""
"=""639.8451""","=""0.0004""","=""639.845240""","=""0.000017""","=""150""",,"=""""","=""18699.62342""","=""34324.0836""","=""5f.7s2.7p""","=""3F""","=""2""","=""""","=""*""","=""2"""
"=""639.8602""","=""0.0004""","=""639.860924""","=""0.000025""","=""9""",,"=""""","=""20054.77119""","=""35678.8484""","=""6d3.(2F).7s""","=""3F""","=""2""","=""""","=""*""","=""1"""
"=""639.99498""","=""0.00007""","=""639.994803""","=""0.000005""","=""160""",,"=""""","=""8800.249723""","=""24421.05861""","=""6d3.(4F).7s""","=""5F""","=""4""","=""""","=""*""","=""3"""
