obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,line_ref,Aki(s^-1),Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k
590.51763,5e-05,590.517631,4e-06,200,L5951,,,,,,,,,
590.557068,7e-06,590.55706,4e-06,2100,L18702,,,,,,,,,
590.57604,6e-05,590.576085,2.1e-05,150,L5951,,,,,,,,,
590.6164,0.0003,590.6162,1.4e-05,32,L3552,,,,,,,,,
590.6843,0.0003,590.684176,2.5e-05,13,L12239,,,,,,,,,
590.734,0.0003,590.735012,2.5e-05,13,L12239,,,,,,,,,
590.892545,8e-06,590.892544,5e-06,1800,L18702,,,,,,,,,
590.895744,1.4e-05,590.895741,4e-06,830,L18702,,,,,,,,,
590.9887,0.0003,590.988405,2.1e-05,10,L3552,,,,,,,,,
591.02346,0.00024,591.023764,1.8e-05,44,L12239,,,,,,,,,
591.064,0.0003,591.064247,1.1e-05,42,L3552,,,,,,,,,
591.1097,0.0003,591.109626,1.8e-05,85,L3552,,,,,,,,,
591.12294,3e-05,591.122967,7e-06,450,L18702,,,,,,,,,
591.3283,0.00024,591.328302,6e-06,34,L12239,,,,,,,,,
591.33637,5e-05,591.336334,1.1e-05,200,L5951,,,,,,,,,
591.467077,4e-06,591.46708,4e-06,5600,L18702,,,,,,,,,
591.471375,9e-06,591.471366,4e-06,1300,L18702,,,,,,,,,
591.5176,0.0003,591.517211,1.8e-05,16,L12239,,,,,,,,,
591.672829,2.1e-05,591.672817,6e-06,590,L18702,,,,,,,,,
591.72793,0.00025,591.727919,2.1e-05,31,L12239,,,,,,,,,
591.81901,0.00021,591.81897,1.1e-05,61,L12239,,,,,,,,,
591.88117,0.00025,591.88063,1.1e-05,39,L12239,,,,,,,,,
591.894462,1.1e-05,591.894461,4e-06,1100,L18702,,,,,,,,,
591.9224,0.0004,591.922485,1.1e-05,170,L3552,,,,,,,,,
592.09771,0.00021,592.0976,1.8e-05,70,L12239,,,,,,,,,
592.1102,0.0004,592.110261,2.5e-05,45,L3552,,,,,,,,,
592.19675,0.00018,592.19675,3e-05,120,L12239,,,,,,,,,
592.28025,4e-05,592.280294,1.1e-05,290,L5951,,,,,,,,,
592.28651,5e-05,592.286442,3e-06,170,L5951,,,,,,,,,
592.39193,0.00021,592.391854,1.4e-05,67,L12239,,,,,,,,,
592.4519,0.0004,592.451856,7e-06,170,L3552,,,,,,,,,
592.4973,0.0004,592.49632,3e-05,7,L12239,,,,,,,,,
592.540359,9e-06,592.540347,3e-06,1600,L18702,,,,,,,,,
592.5719,0.0004,592.571527,1.8e-05,170,L3552,,,,,,,,,
592.58641,3e-05,592.586395,7e-06,610*,L5951,,,,,,,,,
592.58641,3e-05,592.586464,2.1e-05,610*,L5951,,,,,,,,,
592.60027,4e-05,592.600318,3e-06,350,L18702,,,,,,,,,
592.623199,5e-06,592.623196,3e-06,3100,L18702,,,,,,,,,
592.8123,0.0004,592.811939,1.1e-05,45,L3552,,,,,,,,,
592.8755,0.0004,592.875059,1.4e-05,34,L3552,,,,,,,,,
592.88629,6e-05,592.88613,1.1e-05,130,L5951,,,,,,,,,
592.93262,0.00021,592.932814,1.1e-05,59,L12239,,,,,,,,,
592.9589,0.0003,592.958465,1.8e-05,25,L12239,,,,,,,,,
592.993423,1.1e-05,592.993426,3e-06,1100,L18702,,,,,,,,,
593.03121,7e-05,593.031179,7e-06,94,L5951,,,,,,,,,
593.10633,0.00025,593.105461,2.5e-05,33,L12239,,,,,,,,,
593.2056,0.0004,593.205221,1.8e-05,45,L3552,,,,,,,,,
593.24274,5e-05,593.242728,1.1e-05,240,L5951,,,,,,,,,
593.2911,0.0004,593.290952,1.1e-05,170,L3552,,,,,,,,,
593.3682,0.0004,593.36751,3e-05,6,L12239,,,,,,,,,
593.38416,0.00025,593.384481,1.1e-05,37,L12239,,,,,,,,,
593.4103,0.0004,593.411453,1.4e-05,11,L3552,,,,,,,,,
593.44092,3e-05,593.440934,9e-06,400,L18702,,,,,,,,,
593.44609,4e-05,593.446284,5e-06,320,L5951,,,,,,,,,
593.5271,0.0004,593.527,2.1e-05,8,L12239,,,,,,,,,
593.61731,0.00025,593.617627,1.8e-05,37,L12239,,,,,,,,,
593.63855,2.1e-05,593.638612,6e-06,530,L18702,,,,,,,,,
593.6874,5e-05,593.687397,6e-06,230,L5951,,,,,,,,,
593.71619,3e-05,593.716199,7e-06,500,L5951,,,,,,,,,
593.72843,0.00021,593.72893,1.4e-05,64,L12239,,,,,,,,,
593.7415,0.0003,593.741613,8e-06,20,L12239,,,,,,,,,
593.766341,1.1e-05,593.766342,3e-06,1200,L18702,,,,,,,,,
593.79252,4e-05,593.792508,4e-06,290,L5951,,,,,,,,,
593.8041,0.0004,593.803603,2.5e-05,11,L3552,,,,,,,,,
593.82841,0.00021,593.82818,1.1e-05,47,L12239,,,,,,,,,
593.845684,6e-06,593.845686,3e-06,2700,L18702,,,,,,,,,
593.88251,4e-06,593.882509,3e-06,6200,L18702,,,,,,,,,
593.9044,0.0004,593.904534,1.4e-05,170,L3552,,,,,,,,,
594.05653,5e-05,594.056596,6e-06,250,L5951,,,,,,,,,
594.0965,0.00018,594.096805,2.1e-05,78,L12239,,,,,,,,,
594.1127,0.0003,594.112736,1.8e-05,20,L12239,,,,,,,,,
594.1568,0.0004,594.156612,2.5e-05,23,L3552,,,,,,,,,
594.22561,0.00025,594.225428,1.1e-05,31,L12239,,,,,,,,,
594.23588,4e-05,594.235856,7e-06,310,L18702,,,,,,,,,
594.34652,5e-05,594.346499,4e-06,230,L5951,,,,,,,,,
594.34959,6e-05,594.349699,1.1e-05,120,L5951,,,,,,,,,
594.37434,0.00021,594.374993,1.1e-05,51,L12239,,,,,,,,,
594.3934,0.0004,594.393135,1.4e-05,11,L3552,,,,,,,,,
594.4526,0.0003,594.451574,1.8e-05,25,L12239,,,,,,,,,
594.464734,6e-06,594.464732,3e-06,2700,L18702,,,,,,,,,
594.4806,0.0004,594.480647,1.4e-05,170,L3552,,,,,,,,,
594.5184,0.0004,594.518605,1.4e-05,12,L12239,,,,,,,,,
594.5324,0.0003,594.532127,2.1e-05,14,L12239,,,,,,,,,
594.54766,0.00021,594.547739,8e-06,64,L12239,,,,,,,,,
594.6027,0.0004,594.602303,1.4e-05,88,L3552,,,,,,,,,
594.62346,5e-05,594.623568,5e-06,230,L5951,,,,,,,,,
594.7502,0.0004,594.749941,1.4e-05,44,L3552,,,,,,,,,
594.83895,0.00025,594.838743,1.8e-05,35,L12239,,,,,,,,,
594.879912,2.5e-05,594.879917,3e-06,480,L18702,,,,,,,,,
594.8965,0.0004,594.89605,1.1e-05,57,L3552,,,,,,,,,
594.9218,0.0004,594.92139,1.1e-05,170,L3552,,,,,,,,,
594.93702,4e-05,594.937023,5e-06,330,L5951,,,,,,,,,
594.9682,0.0003,594.96908,3e-05,18,L12239,,,,,,,,,
595.01416,0.00021,595.014162,1.4e-05,48,L12239,,,,,,,,,
595.0228,0.00021,595.022926,5e-06,48,L12239,,,,,,,,,
595.0276,0.0003,595.02846,5e-05,21,L12239,,,,,,,,,
595.04264,7e-05,595.042638,1.1e-05,110,L5951,,,,,,,,,
595.06372,7e-05,595.063799,7e-06,85,L5951,,,,,,,,,
595.07727,5e-05,595.077235,1.4e-05,190,L5951,,,,,,,,,
595.2142,0.0004,595.21385,4e-05,13,L12239,,,,,,,,,
595.2456,0.0004,595.245214,1.1e-05,22,L3552,,,,,,,,,
595.2807,0.0004,595.280441,1.1e-05,22,L3552,,,,,,,,,
595.32483,0.00018,595.324997,4e-06,120,L12239,,,,,,,,,
595.35825,5e-05,595.358232,1.1e-05,180,L5951,,,,,,,,,
595.45852,5e-05,595.458441,5e-06,190,L5951,,,,,,,,,
595.47586,0.00021,595.476001,2.5e-05,62,L12239,,,,,,,,,
595.556169,2.1e-05,595.556171,6e-06,500,L18702,,,,,,,,,
595.62588,4e-05,595.625937,1.1e-05,360,L5951,,,,,,,,,
595.74676,7e-05,595.746775,7e-06,100,L5951,,,,,,,,,
595.75885,4e-05,595.758865,7e-06,270,L5951,,,,,,,,,
595.87379,7e-05,595.873751,9e-06,83,L5951,,,,,,,,,
595.96738,3e-05,595.967357,4e-06,350,L18702,,,,,,,,,
595.973,5e-05,595.972968,5e-06,190,L5951,,,,,,,,,
596.0529,0.0004,596.052385,1.1e-05,57,L3552,,,,,,,,,
596.07806,4e-05,596.078048,7e-06,280,L5951,,,,,,,,,
596.1249,0.0004,596.124472,1.8e-05,46,L3552,,,,,,,,,
596.20562,4e-05,596.205638,5e-06,270,L5951,,,,,,,,,
596.2288,0.0003,596.22815,4e-05,14,L12239,,,,,,,,,
596.2773,0.0004,596.277082,2.5e-05,46,L3552,,,,,,,,,
596.2975,0.0004,596.296709,2.2e-05,34,L3552,,,,,,,,,
596.3308,0.0004,596.330404,9e-06,120,L3552,,,,,,,,,
596.3661,0.0004,596.365743,1.8e-05,120,L3552,,,,,,,,,
596.39262,0.00021,596.392623,7e-06,70,L12239,,,,,,,,,
596.40106,0.00018,596.40092,6e-06,82,L12239,,,,,,,,,
596.4088,0.0004,596.40696,1.8e-05,6,L12239,,,,,,,,,
596.4693,0.0003,596.469754,1.8e-05,13,L12239,,,,,,,,,
596.57392,6e-05,596.574023,6e-06,150,L5951,,,,,,,,,
596.58281,5e-05,596.582924,3e-06,170,L5951,,,,,,,,,
596.6273,0.0004,596.626838,1.1e-05,58,L3552,,,,,,,,,
596.75099,6e-05,596.751128,7e-06,140,L5951,,,,,,,,,
596.973737,2.1e-05,596.97373,6e-06,620,L18702,,,,,,,,,
597.03736,0.00025,597.036679,2.5e-05,29,L12239,,,,,,,,,
597.04506,7e-05,597.045019,1.5e-05,99,L5951,,,,,,,,,
597.1073,0.0004,597.107474,1.5e-05,46,L3552,,,,,,,,,
597.1369,0.0004,597.135929,1.5e-05,35,L3552,,,,,,,,,
597.1881,0.0004,597.187659,2.5e-05,35,L3552,,,,,,,,,
597.24351,6e-05,597.243402,4e-06,110,L5951,,,,,,,,,
597.366467,3e-06,597.366467,3e-06,17000,L18702,,,,,,,,,
597.506477,3e-06,597.506479,3e-06,7400,L18702,,,,,,,,,
597.62005,6e-05,597.620119,6e-06,120,L5951,,,,,,,,,
597.7087,0.0004,597.708639,5e-06,120,L3552,,,,,,,,,
597.7539,0.00021,597.75397,3e-05,51,L12239,,,,,,,,,
597.8413,0.0003,597.841351,1.1e-05,20,L12239,,,,,,,,,
597.9326,0.0003,597.932532,7e-06,15,L12239,,,,,,,,,
598.1233,0.0004,598.122162,2.2e-05,23,L3552,,,,,,,,,
598.20961,4e-05,598.209609,5e-06,340,L5951,,,,,,,,,
598.2229,0.0004,598.223491,1.5e-05,59,L3552,,,,,,,,,
598.2652,0.0003,598.265242,7e-06,43,L12239,,,,,,,,,
598.3163,0.0004,598.316512,1.1e-05,59,L3552,,,,,,,,,
598.49986,0.00021,598.49903,3e-05,47,L12239,,,,,,,,,
598.56783,0.00022,598.567887,1.1e-05,57,L12239,,,,,,,,,
598.62667,3e-05,598.626652,3e-06,470,L18702,,,,,,,,,
598.8002,0.0003,598.79987,4e-05,15,L12239,,,,,,,,,
598.94448,6e-05,598.944541,1.5e-05,130*,L5951,,,,,,,,,
598.94448,6e-05,598.94478,4e-05,130*,L5951,,,,,,,,,
598.9743,5e-05,598.974263,1.8e-05,230,L5951,,,,,,,,,
599.100698,4e-06,599.100701,3e-06,4400,L18702,,,,,,,,,
599.14579,0.00014,599.145752,3e-06,190,L12239,,,,,,,,,
599.34941,5e-05,599.349302,4e-06,250,L5951,,,,,,,,,
599.396,0.0004,599.395585,1.1e-05,590,L3552,,,,,,,,,
599.412865,3e-06,599.412865,3e-06,12000,L18702,,,,,,,,,
599.46902,0.00014,599.469029,1.1e-05,320,L12239,,,,,,,,,
599.52198,6e-05,599.521998,9e-06,160,L5951,,,,,,,,,
599.56822,0.00022,599.568282,4e-06,58,L12239,,,,,,,,,
599.662944,2.2e-05,599.662968,4e-06,570,L18702,,,,,,,,,
599.70089,6e-05,599.700854,1.8e-05,150,L5951,,,,,,,,,
599.7786,0.0003,599.778174,1.5e-05,22,L12239,,,,,,,,,
599.9588,0.0003,599.958851,1.1e-05,21,L12239,,,,,,,,,
600.041,0.0003,600.041555,1.8e-05,23,L12239,,,,,,,,,
"=""600.0410""","=""0.0003""","=""600.041555""","=""0.000018""","=""23""",,"=""""","=""17073.80916""","=""33734.7071""","=""6d3.(4P).7s""","=""""","=""1""","=""""","=""*""","=""2"""
600.0538,0.0003,600.05295,3e-05,35,L12239,,,,,,,,,
"=""600.0538""","=""0.0003""","=""600.05295""","=""0.00003""","=""35""",,"=""""","=""23655.13881""","=""40315.7205""","=""""","=""*""","=""4""","=""""","=""""","=""4"""
600.0554,0.0004,600.055228,2.2e-05,58,L3552,,,,,,,,,
"=""600.0554""","=""0.0004""","=""600.055228""","=""0.000022""","=""58""",,"=""""","=""21645.85769""","=""38306.3760""","=""6d3.(2G).7s""","=""""","=""4""","=""""","=""*""","=""4"""
600.076213,1.8e-05,600.07621,5e-06,620,L18702,,,,,,,,,
"=""600.076213""","=""0.000018""","=""600.076210""","=""0.000005""","=""620""",,"=""""","=""13175.113345""","=""29835.04913""","=""5f.6d.7s2""","=""3G*""","=""4""","=""""","=""""","=""3"""
"=""600.08663""","=""0.00006""","=""600.086597""","=""0.000018""","=""120""",,"=""""","=""23621.50649""","=""40281.1539""","=""5f.6d2.7s""","=""5I*""","=""8""","=""""","=""""","=""7"""
600.08663,6e-05,600.086597,1.8e-05,120,L5951,,,,,,,,,
600.09421,0.00014,600.09381,8e-06,160,L12239,,,,,,,,,
"=""600.09421""","=""0.00014""","=""600.093810""","=""0.000008""","=""160""",,"=""""","=""15736.968041""","=""32396.41519""","=""6d2.7s.7p""","=""5F*""","=""1""","=""6d4""","=""3P1""","=""2"""
"=""600.120319""","=""0.000007""","=""600.120322""","=""0.000003""","=""1900""",,"=""""","=""8111.004545""","=""24769.71573""","=""6d2.7s2""","=""1G""","=""4""","=""""","=""*""","=""3"""
600.120319,7e-06,600.120322,3e-06,1900,L18702,,,,,,,,,
600.1732,6e-05,600.1733,4e-06,190,L18702,,,,,,,,,
"=""600.17320""","=""0.00006""","=""600.173300""","=""0.000004""","=""190""",,"=""""","=""3865.473772""","=""20522.71449""","=""6d2.7s2""","=""3P""","=""1""","=""6d2.7s.7p""","=""3F*""","=""2"""
"=""600.21956""","=""0.00022""","=""600.219492""","=""0.000006""","=""59""",,"=""""","=""13088.56115""","=""29744.51997""","=""6d3.(2G).7s""","=""3G""","=""3""","=""""","=""*""","=""3"""
600.21956,0.00022,600.219492,6e-06,59,L12239,,,,,,,,,
"=""600.2493""","=""0.0003""","=""600.249486""","=""0.000022""","=""25""",,"=""""","=""24701.04375""","=""41356.1703""","=""""","=""*""","=""5""","=""""","=""""","=""5"""
600.2493,0.0003,600.249486,2.2e-05,25,L12239,,,,,,,,,
600.28699,0.00022,600.286296,1.1e-05,51,L12239,,,,,,,,,
"=""600.28699""","=""0.00022""","=""600.286296""","=""0.000011""","=""51""",,"=""""","=""18053.617845""","=""34707.7231""","=""6d.7s2.7p""","=""3F*""","=""4""","=""""","=""""","=""3"""
"=""600.516488""","=""0.000007""","=""600.516493""","=""0.000004""","=""1800""",,"=""""","=""2869.259165""","=""19516.98043""","=""6d2.7s2""","=""3F""","=""3""","=""6d2.7s.7p""","=""5D*""","=""2"""
600.516488,7e-06,600.516493,4e-06,1800,L18702,,,,,,,,,
600.52107,6e-05,600.521156,1.1e-05,120,L5951,,,,,,,,,
"=""600.52107""","=""0.00006""","=""600.521156""","=""0.000011""","=""120""",,"=""""","=""22877.58322""","=""39525.1752""","=""""","=""*""","=""5""","=""""","=""""","=""5"""
"=""600.5600""","=""0.0004""","=""600.559459""","=""0.000018""","=""120""",,"=""""","=""21539.59257""","=""38186.1228""","=""""","=""*""","=""4""","=""""","=""""","=""4"""
600.56,0.0004,600.559459,1.8e-05,120,L3552,,,,,,,,,
600.58115,0.00022,600.580734,7e-06,46,L12239,,,,,,,,,
"=""600.58115""","=""0.00022""","=""600.580734""","=""0.000007""","=""46""",,"=""""","=""14243.993748""","=""30889.93430""","=""5f.6d.7s2""","=""3P*""","=""1""","=""""","=""""","=""1"""
"=""600.5921""","=""0.0004""","=""600.592186""","=""0.000022""","=""11""",,"=""""","=""19532.41646""","=""36178.0396""","=""6d3.(2F).7s""","=""3F""","=""4""","=""""","=""*""","=""4"""
600.5921,0.0004,600.592186,2.2e-05,11,L3552,,,,,,,,,
600.6084,0.0003,600.60778,2.2e-05,20,L12239,,,,,,,,,
"=""600.6084""","=""0.0003""","=""600.607780""","=""0.000022""","=""20""",,"=""""","=""24259.77463""","=""40904.9656""","=""""","=""*""","=""4""","=""""","=""""","=""5"""
"=""600.6294""","=""0.0004""","=""600.628905""","=""0.000018""","=""46""",,"=""""","=""17073.80916""","=""33718.4147""","=""6d3.(4P).7s""","=""""","=""1""","=""""","=""*""","=""2"""
600.6294,0.0004,600.628905,1.8e-05,46,L3552,,,,,,,,,
600.707212,4e-06,600.707212,4e-06,4500,L18702,,,,,,,,,
"=""600.707212""","=""0.000004""","=""600.707212""","=""0.000004""","=""4500""",,"=""""","=""8800.249723""","=""25442.68552""","=""6d3.(4F).7s""","=""5F""","=""4""","=""""","=""*""","=""3"""
"=""600.8052""","=""0.0004""","=""600.804880""","=""0.000015""","=""58""",,"=""""","=""15863.88829""","=""32503.6187""","=""6d3.(2D2).7s""","=""""","=""2""","=""""","=""*""","=""2"""
600.8052,0.0004,600.80488,1.5e-05,58,L3552,,,,,,,,,
600.84393,0.00022,600.843621,1.1e-05,45,L12239,,,,,,,,,
"=""600.84393""","=""0.00022""","=""600.843621""","=""0.000011""","=""45""",,"=""""","=""18069.065569""","=""34707.7231""","=""6d.7s2.7p""","=""1F*""","=""3""","=""""","=""""","=""3"""
"=""601.00191""","=""0.00008""","=""601.001976""","=""0.000010""","=""83""",,"=""""","=""16783.84708""","=""33418.1206""","=""5f.6d2.7s""","=""5I*""","=""4""","=""6d4""","=""""","=""4"""
601.00191,8e-05,601.001976,1e-05,83,L5951,,,,,,,,,
601.016045,5e-06,601.016038,3e-06,3200,L18702,,,,,,,,,
"=""601.016045""","=""0.000005""","=""601.016038""","=""0.000003""","=""3200""",,"=""""","=""2869.259165""","=""19503.143490""","=""6d2.7s2""","=""3F""","=""3""","=""6d2.7s.7p""","=""5F*""","=""3"""
"=""601.02551""","=""0.00006""","=""601.025413""","=""0.000015""","=""160""",,"=""""","=""17166.10472""","=""33799.7296""","=""6d3.(2H).7s""","=""3H""","=""5""","=""""","=""*""","=""4"""
601.02551,6e-05,601.025413,1.5e-05,160,L5951,,,,,,,,,
601.05994,7e-05,601.059944,1.1e-05,100,L5951,,,,,,,,,
"=""601.05994""","=""0.00007""","=""601.059944""","=""0.000011""","=""100""",,"=""""","=""19986.16721""","=""36618.8365""","=""5f.6d2.7s""","=""5H*""","=""6""","=""""","=""""","=""7"""
"=""601.1203""","=""0.0004""","=""601.12028""","=""0.00003""","=""180""",,"=""""","=""23049.45870""","=""39680.4585""","=""""","=""*""","=""1""","=""""","=""""","=""2"""
601.1203,0.0004,601.12028,3e-05,180,L3552,,,,,,,,,
601.1345,5e-05,601.134391,1.1e-05,200,L5951,,,,,,,,,
"=""601.13450""","=""0.00005""","=""601.134391""","=""0.000011""","=""200""",,"=""""","=""14465.221873""","=""31095.8313""","=""6d2.7s.7p""","=""5G*""","=""2""","=""6d4""","=""3D""","=""2"""
"=""601.15338""","=""0.00003""","=""601.153362""","=""0.000004""","=""480""",,"=""""","=""10414.13700""","=""27044.22163""","=""5f.6d.7s2""","=""1G*""","=""4""","=""""","=""""","=""3"""
601.15338,3e-05,601.153362,4e-06,480,L18702,,,,,,,,,
601.2,0.0003,601.20006,4e-05,18,L12239,,,,,,,,,
"=""601.2000""","=""0.0003""","=""601.20006""","=""0.00004""","=""18""",,"=""""","=""24381.33337""","=""41010.1262""","=""""","=""*""","=""2""","=""""","=""""","=""3"""
"=""601.2332""","=""0.0003""","=""601.233423""","=""0.000022""","=""27""",,"=""""","=""23609.16775""","=""40237.0379""","=""""","=""*""","=""5""","=""""","=""""","=""5"""
601.2332,0.0003,601.233423,2.2e-05,27,L12239,,,,,,,,,
601.3442,0.0004,601.343788,9e-06,94,L3552,,,,,,,,,
"=""601.3442""","=""0.0004""","=""601.343788""","=""0.000009""","=""94""",,"=""""","=""16783.84708""","=""33408.66553""","=""5f.6d2.7s""","=""5I*""","=""4""","=""""","=""""","=""3"""
"=""601.40563""","=""0.00008""","=""601.405660""","=""0.000015""","=""85""",,"=""""","=""17959.89498""","=""34583.0031""","=""6d3.(4F).7s""","=""3F""","=""4""","=""""","=""*""","=""3"""
601.40563,8e-05,601.40566,1.5e-05,85,L5951,,,,,,,,,
"=""601.4307""","=""0.0004""","=""601.430139""","=""0.000015""","=""590""",,"=""""","=""19588.36224""","=""36210.7938""","=""6d2.7s.7p""","=""5G*""","=""5""","=""""","=""""","=""5"""
601.4307,0.0004,601.430139,1.5e-05,590,L3552,,,,,,,,,
601.4578,0.0004,601.45808,3e-05,12,L12239,,,,,,,,,
"=""601.4578""","=""0.0004""","=""601.45808""","=""0.00003""","=""12""",,"=""""","=""22338.99484""","=""38960.6542""","=""5f.6d2.7s""","=""5G*""","=""3""","=""""","=""""","=""2"""
"=""601.63589""","=""0.00005""","=""601.635892""","=""0.000006""","=""210""",,"=""""","=""16346.64962""","=""32963.39652""","=""5f.6d2.7s""","=""5H*""","=""4""","=""""","=""""","=""5"""
601.63589,5e-05,601.635892,6e-06,210,L5951,,,,,,,,,
"=""601.7246""","=""0.0003""","=""601.72441""","=""0.00003""","=""16""",,"=""""","=""24915.01853""","=""41529.3210""","=""6d3.(2D1).7s""","=""3D""","=""3""","=""""","=""*""","=""2"""
601.7246,0.0003,601.72441,3e-05,16,L12239,,,,,,,,,
601.78618,7e-05,601.78605,3e-05,120,L5951,,,,,,,,,
"=""601.78618""","=""0.00007""","=""601.78605""","=""0.00003""","=""120""",,"=""""","=""19273.28060""","=""35885.8813""","=""6d3.(2P).7s""","=""""","=""2""","=""""","=""*""","=""2"""
"=""601.9411""","=""0.0004""","=""601.940662""","=""0.000022""","=""11""",,"=""""","=""20522.71449""","=""37131.0482""","=""6d2.7s.7p""","=""3F*""","=""2""","=""""","=""""","=""3"""
601.9411,0.0004,601.940662,2.2e-05,11,L3552,,,,,,,,,
601.96386,7e-05,601.963856,6e-06,110,L5951,,,,,,,,,
"=""601.96386""","=""0.00007""","=""601.963856""","=""0.000006""","=""110""",,"=""""","=""15166.900593""","=""31774.59439""","=""6d2.7s.7p""","=""5G*""","=""3""","=""""","=""""","=""3"""
"=""601.98190""","=""0.00022""","=""601.981855""","=""0.000004""","=""67""",,"=""""","=""13945.307389""","=""30552.50463""","=""6d.7s2.7p""","=""3F*""","=""3""","=""""","=""""","=""4"""
601.9819,0.00022,601.981855,4e-06,67,L12239,,,,,,,,,
"=""602.02715""","=""0.00007""","=""602.027147""","=""0.000018""","=""120""",,"=""""","=""11601.03035""","=""28206.9782""","=""6d3.(4P).7s""","=""5P""","=""1""","=""""","=""*""","=""0"""
602.02715,7e-05,602.027147,1.8e-05,120,L5951,,,,,,,,,
602.0498,0.00018,602.049759,1.5e-05,79,L12239,,,,,,,,,
"=""602.04980""","=""0.00018""","=""602.049759""","=""0.000015""","=""79""",,"=""""","=""15970.09583""","=""32575.4200""","=""6d3.(2D2).7s""","=""""","=""3""","=""6d3.7p""","=""5G*""","=""2"""
602.103563,4e-06,602.103562,3e-06,5500,L18702,,,,,,,,,
"=""602.103563""","=""0.000004""","=""602.103562""","=""0.000003""","=""5500""",,"=""""","=""7795.275291""","=""24399.11564""","=""5f.6d.7s2""","=""3H*""","=""4""","=""5f.6d.7s.7p""","=""5H""","=""3"""
"=""602.2640""","=""0.0004""","=""602.26520""","=""0.00003""","=""9""",,"=""""","=""20922.12244""","=""37521.5066""","=""""","=""*""","=""2""","=""""","=""""","=""3"""
602.264,0.0004,602.2652,3e-05,9,L12239,,,,,,,,,
602.26974,0.00022,602.269808,6e-06,48,L12239,,,,,,,,,
"=""602.26974""","=""0.00022""","=""602.269808""","=""0.000006""","=""48""",,"=""""","=""13945.307389""","=""30544.56459""","=""6d.7s2.7p""","=""3F*""","=""3""","=""""","=""""","=""2"""
"=""602.32242""","=""0.00004""","=""602.322438""","=""0.000007""","=""440""",,"=""""","=""13088.56115""","=""29686.36795""","=""6d3.(2G).7s""","=""3G""","=""3""","=""""","=""*""","=""3"""
602.32242,4e-05,602.322438,7e-06,440,L5951,,,,,,,,,
602.4082,0.0004,602.408736,1.1e-05,11,L3552,,,,,,,,,
"=""602.4082""","=""0.0004""","=""602.408736""","=""0.000011""","=""11""",,"=""""","=""18809.88631""","=""35405.3154""","=""6d2.7s.7p""","=""5G*""","=""4""","=""""","=""""","=""3"""
602.4835,0.0004,602.483075,1.8e-05,23,L3552,,,,,,,,,
"=""602.4835""","=""0.0004""","=""602.483075""","=""0.000018""","=""23""",,"=""""","=""20214.92997""","=""36808.3114""","=""6d2.7s.7p""","=""5D*""","=""3""","=""""","=""""","=""3"""
602.5049,0.0004,602.504032,2.2e-05,11,L3552,,,,,,,,,
"=""602.5049""","=""0.0004""","=""602.504032""","=""0.000022""","=""11""",,"=""""","=""22141.60454""","=""38734.4088""","=""""","=""*""","=""3""","=""""","=""""","=""3"""
"=""602.57779""","=""0.00005""","=""602.577807""","=""0.000008""","=""240""",,"=""""","=""13962.51989""","=""30553.29269""","=""6d3.(2D2).7s""","=""""","=""1""","=""""","=""*""","=""2"""
602.57779,5e-05,602.577807,8e-06,240,L5951,,,,,,,,,
"=""602.60449""","=""0.00005""","=""602.604452""","=""0.000004""","=""220""",,"=""""","=""8111.004545""","=""24701.04375""","=""6d2.7s2""","=""1G""","=""4""","=""""","=""*""","=""5"""
602.60449,5e-05,602.604452,4e-06,220,L5951,,,,,,,,,
"=""602.82702""","=""0.00011""","=""602.827083""","=""0.000006""","=""150""",,"=""""","=""14204.26476""","=""30788.17715""","=""6d3.(2G).7s""","=""""","=""5""","=""""","=""*""","=""5"""
602.82702,0.00011,602.827083,6e-06,150,L18702,,,,,,,,,
602.8631,0.0004,602.86236,3e-05,35,L3552,,,,,,,,,
"=""602.8631""","=""0.0004""","=""602.86236""","=""0.00003""","=""35""",,"=""""","=""21165.098037""","=""37748.0401""","=""5f.6d.7s2""","=""3D*""","=""3""","=""""","=""""","=""2"""
"=""602.92258""","=""0.00004""","=""602.922595""","=""0.000004""","=""450""",,"=""""","=""13175.113345""","=""29756.39860""","=""5f.6d.7s2""","=""3G*""","=""4""","=""""","=""""","=""4"""
602.92258,4e-05,602.922595,4e-06,450,L5951,,,,,,,,,
602.965,5e-05,602.965005,4e-06,250,L5951,,,,,,,,,
"=""602.96500""","=""0.00005""","=""602.965005""","=""0.000004""","=""250""",,"=""""","=""9804.806547""","=""26384.92556""","=""6d3.(4F).7s""","=""5F""","=""5""","=""""","=""*""","=""4"""
"=""603.0189""","=""0.0004""","=""603.018625""","=""0.000007""","=""58""",,"=""""","=""16217.482038""","=""32796.12677""","=""6d.7s2.7p""","=""1D*""","=""2""","=""""","=""""","=""3"""
603.0189,0.0004,603.018625,7e-06,58,L3552,,,,,,,,,
603.044479,9e-06,603.044488,3e-06,1500,L18702,,,,,,,,,
"=""603.044479""","=""0.000009""","=""603.044488""","=""0.000003""","=""1500""",,"=""""","=""4961.658832""","=""21539.59257""","=""6d2.7s2""","=""3F""","=""4""","=""""","=""*""","=""4"""
