obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,tp_ref,line_ref
629.5446,0.0008,629.54312,8e-05,2,,,,L14821
631.54,0.002,631.5407,0.00016,1,,,,L14821
632.3735,0.0008,632.37174,0.00012,3,,,,L14821
632.416,0.002,632.41631,0.00016,1p*,,,,L14821
632.416,0.002,632.41887,8e-05,1p*,,,,L14821
632.44151,0.00012,632.44176,5e-05,12,,,,L11520
632.6117,0.0008,632.6117,0.0008,2*,,,,L14821
632.8474,0.0008,632.84661,0.00016,1,,,,L14821
633.2499,0.0008,633.24966,0.00012,5,,,,L14821
633.2832,0.0008,633.28495,6e-05,1,,,,L14821
633.3147,0.0002,633.31468,6e-05,6,,,,L11520
633.713,0.002,633.71341,6e-05,0,,,,L14821
633.9897,0.0008,633.98981,8e-05,3,,,,L14821
634.82272,0.00019,634.82281,4e-05,7,,,,L11520
634.8601,0.0008,634.86248,0.00016,2,,,,L14821
635.7025,0.0003,635.70229,0.00012,7,,,,L11520
635.76776,8e-05,635.76782,6e-05,8,,,,L2634
636.544,0.0008,636.54546,4e-05,1,,,,L14821
636.9128,0.0008,636.91233,6e-05,2,,,,L14821
637.319,0.002,637.31859,7e-05,0,,,,L14821
637.5945,0.0008,637.59543,6e-05,3,,,,L14821
638.2696,0.0008,638.26931,3e-05,3,,,,L14821
638.30967,8e-05,638.30994,0.00017,5,,,,L2634
638.8341,0.0003,638.83417,9e-05,5,,,,L11520
639.1117,0.0008,639.11273,8e-05,2,,,,L14821
639.3802,0.0006,639.38006,6e-05,7bl,,,,L11520
639.4729,0.0003,639.47298,9e-05,7,,,,L11520
639.66084,0.00016,639.66112,5e-05,11,,,,L11520
639.7184,0.0008,639.71951,8e-05,2,,,,L14821
639.92085,8e-05,639.920633,1.7e-05,18,600000.0,C,T926,L11520
,,621.224738,1.1e-05,,2100.0,E,T997n,
