obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"571.6252"	"571.6251+"	"80"	""			
"572.214"	"572.213+"	"15h"	"3.60e+05"	B+		
"572.326"	"572.325+"	"1h"	""			
"572.610"	"572.6063+"	"4"	"9.0e+04"	C+		
"573.348"	"573.3467+"	"4h"	""			
"574.017"	"574.0148+"	"6"	""			
"574.073"	"574.0732+"	"1h"	""			
"574.820"	"574.818+"	"8h"	""			
"575.460"	"575.460+"	"1h"	""			
"579.226"	"579.225+"	"1h"	"9.0e+04"	C		
"580.7311"	"580.7303+"	"15"	""			
"581.4505"	"581.4505+"	"60"	""			
"582.052"	"582.0498+"	"25"	"4.00e+05"	B+		
"582.3890"	"582.3887+"	"300"	""			
"582.4800"	"582.4801+"	"150"	""			
"582.772"	"582.7719+"	"1"	""			
"583.063"	"583.062+"	"20h"	""			
"584.083"	"584.081+"	"4h"	""			
"584.343"	"584.3393+"	"5"	""			
"584.546"	"584.541+"	"1"	""			
"584.621"	"584.618+"	"2"	""			
"584.985"	"584.984+"	"3h"	""			
"585.6509"	"585.6509+"	"15"	""			
"587.5018"	"587.5019+"	"100"	""			
"587.892"	"587.893+"	"6"	""			
"588.912"	"588.912+"	"20"	""			
"589.4988"	"589.4989+"	"100"	""			
"589.562"	"589.5688+"	"2h"	""			
"589.856"	"589.8569+"	"8"	""			
"590.4462"	"590.4459+"	"20"	""			
"590.676"	"590.674+"	"3"	""			
"591.190"	"591.192+"	"5*"	""			
"591.190"	"591.1903+"	"5*"	""			
"591.665"	"591.666+"	"4"	"1.30e+05"	B		
"592.185"	"592.186+"	"10"	""			
"592.2550"	"592.2548+"	"20"	""			
"592.556"	"592.5565+"	"6"	""			
"593.1241"	"593.1245+"	"80"	""			
"593.4172"	"593.4169+"	"100"	""			
"596.328"	"596.318+"	"4"	""			
"597.282"	"597.28+"	"1h"	""			
"597.4152"	"597.4161+"	"40"	""			
"597.829"	"597.828+"	"2"	""			
"597.942"	"597.944+"	"1"	""			
"598.623"	"598.6217+"	"4"	""			
"598.918"	"598.9186+"	"30"	""			
"599.8115"	"599.8116+"	"30"	"5.80e+05"	B+		
"600.7909"	"600.7905+"	"15"	"1.60e+05"	B+		
"600.978"	"600.978+"	"8"	"2.10e+05"	B		
"601.410"	"601.4121+"	"1h"	"1.3e+04"	C		
"602.289"	"602.288+"	"1h-"	""			
"602.676"	"602.6742+"	"4"	""			
"602.978"	"602.98+"	"15*"	""			
"602.978"	"602.98+"	"15*"	""			
"603.136"	"603.136+"	"1h-"	""			
"603.492"	"603.4910+"	"2"	""			
"604.338"	"604.338+"	"10"	""			
"604.800"	"604.799+"	"6h"	""			
"606.491"	"606.489+"	"1h"	""			
"606.752"	"606.751+"	"2h"	""			
"606.777"	"606.775+"	"1h"	""			
"609.338"	"609.337+"	"3"	""			
"609.515"	"609.52+"	"1-"	""			
"610.388"	"610.387+"	"3"	"1.20e+05"	B		
"610.837"	"610.8352+"	"8"	"1.80e+05"	C+		
"611.1761"	"611.1760+"	"30"	""			
"611.1951"	"611.1949+"	"40"	"7.0e+05"	C		
"611.486"	"611.485+"	"10"	""			
"612.391"	"612.389+"	"5"	""			
"612.636"	"612.6362+"	"15"	""			
"613.147"	"613.146+"	"1"	""			
"614.213"	"614.212+"	"1h"	""			
"614.370"	"614.3687+"	"4"	""			
"614.497"	"614.496+"	"20hw"	""			
"615.2070"	"615.2069+"	"20"	""			
"616.216"	"616.2174+"	"3"	""			
"616.3661"	"616.3661+"	"90"	""			
"616.3935"	"616.3931+"	"80"	""			
"617.8303"	"617.8300+"	"150"	""			
"617.9665"	"617.9665+"	"120"	""			
"618.2420"	"618.2418+"	"300"	""			
"618.416"	"618.4167+"	"3"	""			
"618.910"	"618.9102+"	"20"	"1.30e+05"	B		
"619.140"	"619.139+"	"4h"	""			
"619.389"	"619.387+"	"1h"	""			
"619.549"	"619.5494+"	"1"	""			
"619.8260"	"619.8256+"	"100"	"6.60e+05"	B+		
"620.0892"	"620.0889+"	"60"	""			
"620.149"	"620.147+"	"3h"	""			
"620.535"	"620.534+"	"6h"	""			
"620.575"	"620.575+"	"4"	""			
"620.6297"	"620.6299+"	"20"	""			
"620.911"	"620.9101+"	"3"	""			
"622.084"	"622.0844+"	"1"	""			
"622.4168"	"622.4172+"	"40"	""			
"623.081"	"623.08+"	"4*"	""			
"623.081"	"623.08+"	"4*"	""			
"624.209"	"624.2055+"	"8"	""			
"626.1212"	"626.1211+"	"50"	""			
"626.5302"	"626.5301+"	"40*"	""			
"626.5302"	"626.52+"	"40*"	""			
"626.834"	"626.834+"	"1h"	""			
"627.323"	"627.3219+"	"10"	""			
"627.699"	"627.699+"	"4"	""			
"628.181"	"628.180+"	"5h"	""			
"628.6011"	"628.600+"	"100"	""			
"629.2649"	"629.2649+"	"50"	""			
"629.445"	"629.4462+"	"15"	""			
"631.497"	"631.4953+"	"15"	"3.10e+05"	B+		
"631.8062"	"631.8063+"	"500"	""			
"632.581"	"632.5804+"	"2"	"2.1e+04"	C		
"633.150"	"633.1449+"	"20"	""			
"633.397"	"633.395+"	"40hl"	""			
"633.758"	"633.757+"	"8hl"	""			
"634.498"	"634.499+"	"2h"	""			
"635.577"	"635.5750+"	"20"	""			
"638.324"	"638.330+"	""	""			
"640.705"	"640.70+"	""	""			
