obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"380.6312"	"380.63154"	"50000"	"3.2e+07"			
"382.8909"	"382.89121"	"1000"	"1.5e+06"			
"383.9259"	"383.9255"	"10000"	"4.7e+06"			
"388.3183"	""	"200"	""			
"390.9320"	""	"400"	""			
"391.3367"	""	"75"	""			
"391.4313"	"391.43142"	"5000"	"3.7e+06"			
"391.9264"	"391.9257"	"500D"	"1.1e+07"			
"394.0369"	"394.0361"	"15G"	"1.9e+06"			
"394.5673"	""	"30"	""			
"394.6281"	""	"75"	""			
"395.6319"	""	"60"	""			
"397.4402"	""	"500"	""			
"398.39312"	"398.39312"	"10000000c"	"3.2e+06"			
"402.6201"	""	"15G"	""			
"404.0457"	"404.04621"	"4000c"	"9.0e+06"			
"404.0576"	""	"500"	""			
"404.7740"	"404.7742"	"50"	"3.0e+05"			
"412.0440"	"412.0447"	"4000"	"1.2e+07"			
"427.6224"	""	"100"	""			
"427.7995"	"427.7987"	"100w"	"8.0e+06"			
"433.7097"	"433.7088"	"100c"	"4.0e+04"			
"433.7097"	"433.7094"	"100c"	"1.1e+06"			
"438.2549"	"438.2553"	"300u"	"8.5e+04"			
"439.8617"	"439.8623"	"40000"	"9.0e+06"			
"440.4854"	"440.4854"	"2h"	"4.5e+06"			
"442.5220"	"442.5223"	"3300h"	"1.3e+06"			
"445.4395"	"445.4390"	"200h"	"6.5e+06"			
"445.5486"	"445.5486"	"70h"	"2.1e+06"			
"445.9053"	""	"150h"	""			
"446.3878"	"446.3878"	"700c"	"8.0e+04"			
"449.1552"	""	"2000"	""			
"449.2831"	"449.28309"	"2800"	"7.5e+05"			
"465.7320"	"465.7316"	"60h"	""			
"466.0219"	"466.0216"	"30000"	"1.0e+07"			
"468.6563"	"468.6561"	"60s"	"7.7e+03"			
"470.4625"	"470.4625"	"300l"	"6.7e+06"			
"474.2297"	"474.2296"	"300"	""			
"476.2266"	"476.2271"	"100h"	"2.8e+06"			
"482.5566"	"482.5564"	"17000"	""			
"482.7732"	"482.77261"	"30w"	"4.8e+03"			
"485.5584"	"485.5586"	"16000h"	"2.2e+06"			
"488.0327"	""	"4500c"	""			
"491.6328"	""	"100w"	""			
"496.1873"	"496.1888"	"18000c"	"2.1e+05"			
"498.0564"	"498.0567"	"9500l"	""			
"501.7279"	""	"100"	""			
"502.5607"	""	"100"	""			
"506.6493"	"506.6497"	"1200"	""			
"509.8559"	"509.8561"	"60"	""			
"510.0946"	"510.0945"	"100"	""			
"512.8442"	"512.84538"	"120000c"	"2.5e+07"			
"514.6289"	"514.6293"	"15000"	""			
"516.2357"	"516.2367"	"25000c"	"1.7e+05"			
"519.6190"	"519.61884"	"18000c"	"4.2e+06"			
"520.4768"	"520.4768"	"150000"	""			
"520.5868"	"520.5864"	"80h"	""			
"521.6382"	"521.6379"	"40000"	""			
"522.2922"	"522.2922"	"500h"	"1.3e+07"			
"524.2173"	"524.2172"	"35w"	"9.0e+04"			
"527.7591"	"527.7593"	"18000"	""			
"528.0146"	"528.0148"	"600h"	""			
"529.3248"	""	"200"	""			
"529.4177"	"529.4177"	"400h"	"9.2e+06"			
"531.6067"	"531.6069"	"75c"	"1.5e+04"			
"537.2373"	"537.2374"	"40"	""			
"542.5253"	"542.5249"	"8000000"	"1.4e+08"			
"546.5286"	""	"250"	""			
"559.5268"	"559.5260"	"200000"	"8.8e+06"			
"567.7105"	"567.7102"	"20000000E"	"1.8e+08"			
"569.8590"	"569.8593"	"1500c"	"4.6e+06"			
"585.1758"	"585.1766"	"1300c"	"8.0e+06"			
"587.0899"	""	"80p"	""			
"587.1279"	"587.12779"	"1200000"	"1.0e+08"			
"587.1572"	""	"50u"	""			
"587.1921"	""	"600h"	""			
"588.8939"	"588.8947"	"2000000c"	"3.8e+07"			
"591.8496"	"591.8496"	"10w"	"3.3e+06"			
"594.7680"	"594.7682"	"150"	"4.5e+06"			
"596.1509"	"596.1520"	"1500c"	"1.8e+06"			
"597.8916"	""	"180h"	""			
"603.2653"	""	"60h"	""			
"604.1045"	"604.1047"	"180h"	"4.5e+06"			
"608.9794"	"608.9800"	"8000c"	"2.7e+06"			
"610.0096"	""	"100"	""			
"610.0332"	"610.0342"	"5000c"	"1.8e+07"			
"614.1773"	""	"150"	""			
"614.6435"	""	"1500000"	""			
"614.6845"	""	"350w"	""			
"614.9475"	"614.94726"	"25000000c"	"6.2e+07"			
"615.2002"	""	"120"	""			
"615.7138"	""	"120"	""			
"615.8303"	""	"1000"	""			
"619.4289"	""	"70h"	""			
"619.6409"	"619.6421"	"250c"	"3.0e+06"			
"624.2222"	""	"65000"	""			
"629.1228"	"629.1230"	"65000"	"2.6e+07"			
"636.0199"	"636.0199"	"150h"	"4.8e+06"			
"639.4890"	"639.4888"	"55000"	"1.8e+07"			
"644.0547"	"644.0548"	"30h"	"1.8e+05"			
"652.1092"	"652.1095"	"150000c"	"1.6e+07"			
"664.6684"	"664.66839"	"1300"	""		UT	
"670.2030"	"670.2032"	"170h"	"5.3e+06"			
"694.5474"	"694.5474"	"120h"	"2.2e+06"			
"734.6508"	"734.6502"	"600000E"	"5.3e+07"			
"739.5622"	""	"1200h"	""			
"741.1852"	"741.1852"	"600w"	"1.1e+07"			
"741.7864"	"741.7873"	"18000c"	"1.2e+07"			
"748.6298"	"748.6294"	"6500w"	"8.5e+06"			
"756.4534"	"756.4535"	"12000h"	"1.1e+07"			
