obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"739.38"	""	"1d"	""			
"740.33"	""	"1d"	""			
"741.22"	"741.201"	"4"	""			
"745.39"	"745.385"	"8*"	""			
"745.39"	"745.418"	"8*"	""			
"745.67"	"745.668"	"3"	""			
"746.13"	"746.129"	"2"	""			
"747.29"	""	"1d"	""			
"749.45"	""	"1d"	""			
"750.04"	""	"1d"	""			
"752.01"	"751.988"	"9"	""			
"753.16"	""	"1d"	""			
"753.39"	""	"0"	""			
"754.29"	"754.304"	"4"	""			
"755.21"	"755.219"	"7"	""			
"756.08"	""	"1d"	""			
"757.12"	""	"1d"	""			
"758.09"	""	"1d"	""			
"760.21"	"760.217"	"7*"	""			
"760.21"	"760.293"	"7*"	""			
"760.59"	"760.630"	"4"	""			
"761.27"	""	"1d"	""			
"761.55"	""	"0"	""			
"761.88"	""	"1d"	""			
"762.08"	""	"0"	""			
"763.17"	""	"1d"	""			
"763.52"	""	"0"	""			
"764.64"	"764.650"	"3"	""			
"765.37"	""	"1d"	""			
"766.69"	"766.703"	"4"	""		E2	
"767.40"	"767.418"	"5"	""			
"767.73"	"767.733"	"3"	""			
"768.52"	"768.537"	"1"	""			
"769.30"	""	"1d"	""			
"770.41"	""	"1d"	""			
"770.66"	""	"1d"	""			
"771.87"	""	"2"	""			
"772.02"	""	"1"	""			
"772.8825"	"772.8825"	"30"	"6.e+05"	D		
"773.26"	"773.239"	"5"	""			
"773.47"	"773.390"	"0"	""			
"779.52"	""	"1"	""			
"781.39"	"781.389"	"1"	""		E2	
"782.07"	"782.037"	"8"	""			
"782.22"	"782.178"	"1"	""			
"782.60"	"782.631"	"4"	""			
"789.91"	"789.738"	"00"	""			
"792.98"	"792.967"	"3"	""			
"793.69"	"793.703"	"1"	""			
"795.12"	"795.12"	"0d"	""			
"796.86"	"796.86"	"0*"	""			
"796.86"	"796.885"	"0*"	""			
"797.33"	"797.3042"	"1"	""			
"797.91"	"797.882"	"7"	""			
"799.10"	"799.10"	"0"	""			
"799.86"	"799.859"	"0"	""			
"800.71"	""	"1"	""			
"801.33"	"801.32"	"0"	""			
"801.79"	"801.79"	"1"	""			
"802.23"	"802.207"	"6"	""			
"803.19"	"803.18"	"0d*"	""			
"803.19"	"803.18"	"0d*"	""			
"805.00"	"805.00"	"1"	""			
"805.41"	"805.379"	"2"	""			
"805.82"	"805.806"	"1"	""		E2	
"805.84"	"805.84"	"1"	""			
"807.07"	"807.048"	"5"	""			
"807.81"	""	"0d"	""			
"808.04"	"808.04"	"0"	""			
"809.04"	"809.04"	"1d*"	""			
"809.04"	"809.092"	"1d*"	""			
