obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"450.897"	"450.902+"	"0a"	""			
"452.186"	"452.185+"	"100h"	""			
"452.421"	"452.421+"	"200"	""			
"453.249"	"453.250+"	"200"	""			
"453.509"	"453.505+"	"1h"	""			
"453.692"	"453.687+"	"80H*"	""			
"453.692"	"453.701+"	"80H*"	""			
"454.089"	"454.086+"	"400h"	""			
"454.523"	"454.522+"	"400H"	""			
"455.079"	"455.078+"	"10H"	""			
"455.091"	"455.095+"	"2bl"	""			
"455.594"	"455.588+"	"200H"	""			
"456.300"	"456.300+"	"2H"	""			
"456.791"	"456.796+"	""	""			
"457.185"	"457.184+"	"30Hd"	""			
"457.706"	"457.711+"	"200H"	""			
"458.070"	"458.069+"	"80Hl"	""			
"458.548"	"458.547+"	"500H"	""			
"459.180"	"459.176+"	"1"	""			
"459.205"	"459.206+"	"300H"	""			
"459.370"	"459.370+"	"6"	""			
"459.630"	"459.639+"	"1"	""			
"460.303"	"460.304+"	"600h"	"8.2e+07"			
"461.506"	"461.510+"	"100h"	""			
"461.550"	"461.545+"	"200*"	""			
"461.550"	"461.550+"	"200*"	""			
"461.750"	"461.745+"	"90hl"	""			
"461.957"	"461.942+"	"1*"	""			
"461.957"	"461.959+"	"1*"	""			
"462.999"	"463.000+"	"5*"	""			
"462.999"	"463.003+"	"5*"	""			
"463.330"	"463.329+"	"50"	""			
"465.194"	"465.194+"	"200"	""			
"465.300"	"465.301+"	"40"	""			
"465.533"	"465.518+"	""	""			
"466.628"	"466.625+"	"40Hl"	""			
"466.849"	"466.849+"	"100"	""			
"467.220"	"467.219+"	"100H"	""			
"467.394"	"467.407+"	"1w"	""			
"467.456"	"467.457+"	"40"	""			
"467.542"	"467.538+"	"3"	""			
"467.646"	"467.641+"	"200H"	""			
"467.675"	"467.676+"	"2"	""			
"467.831"	"467.831+"	"2h"	""			
"467.945"	"467.940+"	"3hl"	""			
"468.165"	"468.169+"	"1w"	""			
"468.586"	"468.591+"	"0"	""			
"468.820"	"468.820+"	""	""			
"469.205"	"469.200+"	"1bl"	""			
"469.334"	"469.328+"	"15hl"	""			
"469.801"	"469.804+"	"300h"	""			
"469.962"	"469.962+"	"3Hl"	""			
"470.467"	"470.465+"	"10Hl"	""			
"470.892"	"470.888+"	"8hl"	""			
"471.263"	"471.257+"	"40"	""			
"471.376"	"471.383+"	"0*"	""			
"471.376"	"471.387+"	"0*"	""			
"471.518"	"471.514+"	"100"	""			
"472.100"	"472.100+"	"2Hl"	""			
"473.119"	"473.122+"	"100h"	""			
"473.251"	"473.252+"	"15Hl"	""			
"476.905"	"476.904+"	"150"	""			
"477.319"	"477.319+"	"80h"	""			
"477.518"	"477.522+"	"5Hl"	""			
"477.576"	"477.575+"	"8Hl"	""			
"477.918"	"477.916+"	"80"	""			
"478.665"	"478.666+"	"10Hl"	""			
"478.777"	"478.775+"	"100"	""			
"479.184"	"479.183+"	"2h^"	""			
"479.256"	"479.254+"	"40"	""			
"479.540"	"479.533+"	"3h^"	""			
"479.648"	"479.645+"	"6Hl"	""			
"479.835"	"479.832+"	"1a"	""			
"479.945"	"479.942+"	"15Hl"	""			
"480.210"	"480.202+"	"1"	""			
"481.714"	"481.716+"	"40Hl"	""			
"481.802"	"481.802+"	"200"	""			
"482.335"	"482.336+"	"300h"	""			
"483.025"	"483.018+"	"2H"	""			
"483.108"	"483.085+"	"2bl"	""			
"483.220"	"483.221+"	"2"	""			
"484.087"	"484.088+"	"1*"	""			
"484.087"	"484.093+"	"1*"	""			
"484.185"	"484.164+"	"1bl"	""			
"484.433"	"484.432+"	"2000"	"1.1e+08"			
"484.782"	"484.755+"	"3"	""			
"485.02"	"485.012+"	"2h^*"	""			
"485.02"	"485.023+"	"2h^*"	""			
"485.377"	"485.376+"	"40"	""			
"486.245"	"486.247+"	"800h"	""			
"486.887"	"486.887+"	"1h"	""			
"487.650"	"487.649+"	"500h"	"6.3e+07"			
"488.353"	"488.351+"	"600h"	""			
"488.415"	"488.418+"	"100H"	""			
"488.730"	"488.729+"	"300h"	""			
"489.009"	"489.001+"	"300h*"	""			
"489.009"	"489.006+"	"300h*"	""			
"489.218"	"489.231+"	"2^"	""			
"489.99"	"490.001+"	"1^"	""			
"490.520"	"490.52+"	"2H"	""			
"491.966"	"491.964+"	"200"	""			
"492.148"	"492.147+"	"800"	""			
"493.43"	"493.432+"	"1"	""			
"496.500"	"496.498+"	"4Hl"	""			
"497.171"	"497.168+"	"200H"	""			
"497.271"	"497.270+"	"400h"	""			
"497.441"	"497.446+"	"1^"	""			
"497.487"	"497.486+"	"2h"	""			
"498.795"	"498.781+"	"0"	""			
"498.877"	"498.878+"	"300h"	""			
"499.117"	"499.115+"	"100H"	""			
"499.303"	"499.303+"	"10"	""			
"499.393"	"499.391+"	"5Hl"	""			
"500.101"	"500.100+"	"3h"	""			
"501.283"	"501.282+"	"50Hl"	""			
"501.741"	"501.744+"	"1"	""			
"501.875"	"501.874+"	"1^"	""			
"503.615"	"503.620+"	"3Hl"	""			
"504.006"	"504.01+"	"0bl"	""			
"504.492"	"504.494+"	"150h"	""			
"505.254"	"505.253+"	"30h"	""			
"506.633"	"506.640+"	"3Hl"	""			
"506.982"	"506.982+"	"10Hw"	""			
"507.38"	"507.380+"	"1h^"	""			
"508.062"	"508.064+"	"600h"	""			
"508.107"	"508.110+"	"30"	""			
"509.193"	"509.197+"	"60Hl"	""			
"509.959"	"509.957+"	"5H"	""			
"510.40"	"510.386+"	"1Hw*"	""			
"510.40"	"510.397+"	"1Hw*"	""			
"510.858"	"510.868+"	"2h"	""			
"512.242"	"512.243+"	"200h"	""			
"512.570"	"512.569+"	"30"	""			
"516.47"	"516.470+"	"1H-"	""			
"517.882"	"517.882+"	"50h"	""			
"518.225"	"518.228+"	"0"	""			
"518.448"	"518.449+"	"50"	""			
"518.804"	"518.808+"	"200"	""			
"519.137"	"519.137+"	"300"	""			
"519.210"	"519.212+"	"80"	""			
"519.492"	"519.492+"	"5H"	""			
"519.99"	"519.996+"	"1h^"	""			
"520.142"	"520.142+"	"20"	""			
"520.188"	"520.201+"	"10H"	""			
"521.317"	"521.317+"	"1h"	""			
"521.820"	"521.818+"	"1H"	""			
"522.657"	"522.661+"	"20hl"	""			
"522.690"	"522.684+"	"10hl"	""			
"524.775"	"524.775+"	"20h"	""			
"525.989"	"525.991+"	"30"	""			
"526.044"	"526.044+"	"200"	"2.2e+07"			
"526.195"	"526.198+"	"200"	"8.5e+07"			
"526.831"	"526.827+"	"50*"	""			
"526.831"	"526.831+"	"50*"	""			
"528.246"	"528.248+"	"2h"	""			
"529.13"	"529.127+"	"2h"	""			
"529.222"	"529.221+"	"1000"	"8.9e+07"			
"530.927"	"530.927+"	"200"	""			
"531.387"	"531.388+"	"800"	""			
"531.983"	"531.970+"	"3^"	""			
"532.783"	"532.786+"	"3"	""			
"533.933"	"533.933+"	"1000"	""			
"536.320"	"536.319+"	"150"	""			
"536.807"	"536.806+"	"100"	""			
"537.239"	"537.239+"	"300"	"7.1e+07"			
"541.536"	"541.543+"	"50H^"	""			
"541.915"	"541.914+"	"2000"	"6.2e+07"			
"542.807"	"542.801+"	"2hs^"	""			
"543.896"	"543.897+"	"400"	"7.4e+07"			
"544.545"	"544.546+"	"150"	""			
"545.045"	"545.048+"	"100"	""			
"545.090"	"545.093+"	"20"	""			
"546.039"	"546.038+"	"300"	""			
"546.954"	"546.957+"	"20h"	""			
"547.261"	"547.261+"	"500"	"9.9e+06"			
"548.113"	"548.107+"	"1h"	""			
"550.746"	"550.747+"	"2h"	""			
"551.856"	"551.857+"	"1"	""			
"551.877"	"551.884+"	"1"	""			
"552.553"	"552.556+"	"50"	""			
"553.107"	"553.106+"	"400"	"8.8e+06"			
"555.150"	"555.146+"	"4Hs^"	""			
"557.091"	"557.078+"	"1"	""			
"557.219"	"557.219+"	"50"	""			
"558.35"	"558.35+"	"2H"	""			
"559.161"	"559.160+"	"2H"	""			
"559.487"	"559.487+"	"15Hw"	""			
"561.289"	"561.294+"	"1h-"	""			
"561.667"	"561.667+"	"150"	""			
"562.478"	"562.47+"	"1Hl*"	""			
"562.478"	"562.481+"	"1Hl*"	""			
"563.324"	"563.327+"	"3H"	""			
"565.053"	"565.040+"	"1h"	""			
"565.938"	"565.935+"	"150"	""			
"566.756"	"566.755+"	"300"	""			
"567.091"	"567.096+"	"50"	""			
"567.515"	"567.515+"	"1"	""			
"568.187"	"568.184+"	"1h"	""			
"568.649"	"568.651+"	"2h"	""			
"568.820"	"568.815+"	"2^"	""			
"569.961"	"569.959+"	"100"	""			
"571.610"	"571.614+"	"100H"	""			
"571.961"	"571.960+"	"200"	"6.1e+06"			
"572.691"	"572.688+"	"200"	""			
"573.056"	"573.04+"	"0"	""			
"574.42"	"574.42+"	"1^"	""			
"575.103"	"575.104+"	"200"	""			
"575.256"	"575.255+"	"10"	""			
"575.865"	"575.867+"	"100"	""			
"577.639"	"577.639+"	"100"	""			
"578.083"	"578.082+"	"1-"	""			
"579.188"	"579.197+"	"1hl"	""			
"580.95"	"580.969+"	"1Hw"	""			
"581.596"	"581.594+"	"50"	""			
"582.157"	"582.158+"	"1-"	""			
"582.479"	"582.459+"	"1-"	""			
"583.55"	"583.55+"	"5Hw"	""			
"584.928"	"584.94+"	"0"	""			
"585.547"	"585.553+"	"1"	""			
"585.947"	"585.947+"	"2H"	""			
"587.725"	"587.725+"	"1-"	""			
"588.982"	"588.996+"	"4"	""			
"589.026"	"589.046+"	"0"	""			
"589.170"	"589.14+"	"4"	""			
"589.329"	"589.330+"	"150"	""			
"590.513"	"590.513+"	"200"	""			
"590.967"	"590.964+"	"30h"	""			
"591.280"	"591.282+"	"5h"	""			
"591.332"	"591.33+"	"1"	""			
"591.744"	"591.744+"	"50"	""			
"592.150"	"592.155+"	"1"	""			
"592.815"	"592.818+"	"3H^"	""			
"593.414"	"593.414+"	"2"	""			
"593.455"	"593.465+"	"1H"	""			
"593.499"	"593.524+"	"0"	""			
"594.553"	"594.553+"	"300"	""			
"595.803"	"595.804+"	"50"	""			
"596.452"	"596.437+"	"1-"	""			
"597.113"	"597.117+"	"200"	""			
"597.30"	"597.320+"	"1h"	""			
"597.646"	"597.642+"	"1000"	"2.8e+07"			
"597.92"	"597.906+"	"1H"	""			
"598.844"	"598.844+"	"1"	""			
"599.186"	"599.177+"	"1H"	""			
"599.83"	"599.837+"	"1^"	""			
"599.867"	"599.875+"	"0bl"	""			
"600.03"	"600.013+"	"1-"	""			
"600.892"	"600.892+"	"100"	""			
"602.414"	"602.411+"	"2^"	""			
"602.458"	"602.462+"	"3H"	""			
"603.620"	"603.619+"	"500"	"7.5e+06"			
"604.853"	"604.870+"	"5h^"	""			
"605.115"	"605.115+"	"1000"	"1.7e+07"			
"608.321"	"608.335+"	"1h-"	""			
"609.350"	"609.352+"	"300"	""			
"609.759"	"609.757+"	"1000"	"2.6e+07"			
"610.143"	"610.147+"	"200"	""			
"610.764"	"610.737+"	"0"	""			
"611.508"	"611.508+"	"50"	""			
"612.744"	"612.745+"	"2"	""			
"614.340"	"614.345+"	"1h"	""			
"614.645"	"614.646+"	"50"	""			
"615.528"	"615.533+"	"1Hw-"	""			
"618.457"	"618.457+"	"20"	""			
"618.503"	"618.504+"	"15"	""			
"618.579"	"618.587+"	"1H^"	""			
"619.407"	"619.410+"	"300"	""			
"620.345"	"620.345+"	"1h^"	""			
"623.540"	"623.536+"	"1h"	""			
"625.532"	"625.541+"	"2Hl^"	""			
"627.082"	"627.086+"	"400"	"1.8e+07"			
"627.754"	"627.754+"	"300"	"3.6e+06"			
"628.441"	"628.440+"	"50"	""			
"629.639"	"629.651+"	"10H^"	""			
"629.831"	"629.832+"	"20"	""			
"630.086"	"630.086+"	"100"	""			
"630.501"	"630.491+"	"1h"	""			
"631.146"	"631.151+"	"5Hw"	""			
"631.803"	"631.817+"	"5"	""			
"634.396"	"634.395+"	"300"	""			
"635.320"	"635.321+"	"50Hl"	""			
"635.635"	"635.632+"	"500"	""			
"637.528"	"637.527+"	"100"	""			
"639.799"	"639.798+"	"60"	""			
"641.858"	"641.857+"	"20"	""			
"642.147"	"642.149+"	"1^"	""			
"642.673"	"642.687+"	"2H^"	""			
"644.018"	"644.000+"	"2H^"	""			
"644.23"	"644.247+"	"1H^"	""			
"646.148"	"646.151+"	"10H^"	""			
"647.969"	"647.976+"	"2H"	""			
"648.397"	"648.384+"	"0"	""			
"650.247"	"650.256+"	"0"	""			
"651.006"	"651.005+"	"0"	""			
"651.228"	"651.244+"	"0"	""			
"651.283"	"651.282+"	"300h"	""			
"651.548"	"651.539+"	"1H*"	""			
"651.548"	"651.540+"	"1H*"	""			
"652.865"	"652.865+"	"200h"	""			
"654.558"	"654.571+"	"4w"	""			
"655.670"	"655.672+"	"4"	""			
"656.319"	"656.321+"	"15"	""			
"656.913"	"656.908+"	"5"	""			
"657.368"	"657.365+"	"30"	""			
"659.501"	"659.500+"	"800"	""			
"659.725"	"659.727+"	"300"	""			
"659.884"	"659.885+"	"80"	""			
"661.496"	"661.520+"	"10H"	""			
"661.840"	"661.838+"	"50"	""			
"661.933"	"661.947+"	"3"	""			
"662.002"	"662.001+"	"200h"	""			
"663.413"	"663.416+"	"6Hl"	""			
"663.885"	"663.884+"	"2h"	""			
"664.29"	"664.256+"	"1h"	""			
"666.31"	"666.302+"	"2"	""			
"666.559"	"666.532+"	"2"	""			
"669.122"	"669.123+"	"1"	""			
"669.432"	"669.429+"	"400h"	""			
"670.225"	"670.224+"	"80"	""			
"674.427"	"674.431+"	"0"	""			
"675.683"	"675.681+"	"0"	""			
"678.871"	"678.869+"	"100h"	""			
"679.037"	"679.036+"	"80h"	""			
"680.574"	"680.572+"	"1000"	"6.1e+06"			
"691.022"	"691.022+"	"100"	""			
"699.088"	"699.088+"	"2000"	"2.7e+07"			
"700.396"	"700.397+"	"50"	""			
"701.706"	"701.705+"	"80"	""			
"705.257"	"705.256+"	"3Hw"	""			
"707.243"	"707.243+"	"4Hw"	""			
"707.50"	"707.483+"	"2Hs"	""			
"708.215"	"708.215+"	"200"	""			
"709.47"	"709.433+"	"1Hw"	""			
"710.08"	"710.057+"	"5h^"	""			
"713.327"	"713.328+"	"10"	""			
"714.750"	"714.742+"	"100H"	""			
"714.903"	"714.905+"	"300h"	""			
"716.483"	"716.483+"	"800h"	""			
"721.597"	"721.593+"	"20h"	""			
"724.538"	"724.540+"	"2h"	""			
"725.86"	"725.851+"	"2H*"	""			
"725.86"	"725.854+"	"2H*"	""			
"727.975"	"727.958+"	"4Hws*"	""			
"727.975"	"727.995+"	"4Hws*"	""			
"728.434"	"728.433+"	"100"	""			
"730.180"	"730.181+"	"200"	""			
"733.930"	"733.929+"	"300h"	""			
"734.337"	"734.338+"	"30Hw"	""			
"737.838"	"737.837+"	"30"	""			
"740.05"	"740.057+"	"4h"	""			
"741.014"	"741.003+"	"4Hw"	""			
"745.80"	"745.803+"	"2H"	""			
"747.20"	"747.187+"	"1-"	""			
"749.536"	"749.536+"	"50"	""			
"750.300"	"750.302+"	"3h"	""			
"750.86"	"750.824+"	"1H*"	""			
"750.86"	"750.875+"	"1H*"	""			
"753.070"	"753.071+"	"50"	""			
"754.845"	"754.844+"	"300"	""			
"759.46"	"759.455+"	"1H"	""			
"761.857"	"761.854+"	"100"	""			
"767.066"	"767.064+"	"200"	""			
"771.242"	"771.244+"	"30"	""			
"777.212"	"777.212+"	"20hl"	""			
"778.704"	"778.705+"	"100"	""			
"780.58"	"780.560+"	"1"	""			
"782.61"	"782.591+"	"2"	""			
"786.27"	"786.270+"	"3"	""			
"788.271"	"788.259+"	"20*"	""			
"788.271"	"788.266+"	"20*"	""			
"788.94"	"788.952+"	"50h"	""			
"789.26"	"789.249+"	"8h"	""			
"789.77"	"789.774+"	"5Hs"	""			
"792.048"	"792.046+"	"10Hw"	""			
"797.64"	"797.642+"	"3Hw*"	""			
"797.64"	"797.672+"	"3Hw*"	""			
"798.799"	"798.795+"	"40"	""			
"799.15"	"799.117+"	"5H*"	""			
"799.15"	"799.154+"	"5H*"	""			
"800.195"	"800.188+"	"10hs"	""			
"800.58"	"800.570+"	"2"	""			
"800.845"	"800.842+"	"300h"	""			
"801.426"	"801.421+"	"50hs"	""			
"802.007"	"802.006+"	"5"	""			
"803.164"	"803.164+"	"100h"	""			
"803.540"	"803.551+"	"20h"	""			
"803.826"	"803.831+"	"100h"	""			
"808.031"	"808.043+"	"50hs"	""			
