obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"421.74306"	"421.743061"	"27"	""			
"421.86648"	"421.866480"	"59"	"3.6e+07"	D		
"422.26369"	"422.263701"	"76"	"6.9e+07"	D		
"422.66091"	"422.660846"	"16"	""			
"422.69874"	"422.698745"	"89"	"4.1e+07"	D		
"422.81577"	"422.815775"	"331"	"1.31e+07"	A		
"422.98688"	"422.986872"	"26"	""			
"423.72195"	"423.721956"	"269"	"1.12e+07"	B		
"424.3640"	"424.364424"	"2"	"2.e+05"	C		
"425.56027"	"425.560268"	"8"	"2.1e+06"	D		
"425.6663"	"425.66688"	"1"	""			
"426.65265"	"426.652661"	"288"	"1.64e+07"	B		
"426.7490"	"426.749809"	"3"	""			
"426.7730"	"426.773622"	"3h"	""			
"427.51592"	"427.515959"	"35"	"2.6e+07"	D		
"427.75279"	"427.752786"	"1995"	"8.0e+07"	B		
"428.28971"	"428.289720"	"68"	"1.32e+07"	B		
"428.63567"	"428.63567"	"6"	""			
"429.79632"	"429.79645"	"15"	""			
"430.0449"	"430.04543"	"2"	""			
"430.06493"	"430.064931"	"85"	"5.7e+06"	B		
"430.90931"	"430.909312"	"93"	""			
"430.92385"	"430.923857"	"120"	""			
"432.73364"	"432.733647"	"3"	""			
"432.94385"	"432.94383"	"8"	""			
"433.11992"	"433.119915"	"603"	"5.74e+07"	A		
"433.20295"	"433.202953"	"162"	"1.92e+07"	B+		
"433.70705"	"433.707046"	"54"	"3.4e+07"	D		
"433.82312"	"433.823078"	"6"	""			
"434.58968"	"434.589579"	"9"	""			
"434.80635"	"434.806354"	"1995"	"1.171e+08"	A		
"435.22047"	"435.220472"	"200"	"2.12e+07"	B		
"435.84915"	"435.849124"	"3"	"1.8e+05"	D		
"436.20660"	"436.206601"	"78"	"5.5e+06"	B		
"436.78314"	"436.783141"	"129"	""			
"437.07529"	"437.075295"	"617"	"6.6e+07"	B		
"437.13285"	"437.132854"	"355"	"2.21e+07"	B		
"437.24888"	"437.248963"	"10"	""			
"437.48574"	"437.485779"	"30"	""			
"437.59540"	"437.595402"	"209"	"2.05e+07"	B		
"437.92128"	"437.921357"	"11"	""			
"437.96665"	"437.966649"	"550"	"1.004e+08"	A		
"437.98805"	"437.988058"	"794"	""			
"438.2930"	"438.29335"	"5"	""			
"438.37545"	"438.375303"	"14"	"1.1e+06"	B		
"438.50565"	"438.505653"	"117"	""			
"438.69656"	"438.69655"	"5"	""			
"439.4622"	"439.461986"	"3"	"6.e+05"	C		
"439.7798"	"439.77968"	"5"	""			
"440.00964"	"440.009637"	"257"	"1.60e+07"	B		
"440.09860"	"440.098598"	"8710"	"3.04e+07"	B		
"440.1744"	"440.175478"	"2bl?"	""			
"440.49019"	"440.49023"	"18"	""			
"440.64696"	"440.64698"	"10"	""			
"440.900"	"440.90102"	"0.5?"	""			
"441.29035"	"441.290323"	"3"	"6.1e+06"	B		
"442.09118"	"442.091205"	"47"	"3.1e+06"	B		
"442.60008"	"442.600080"	"1514"	"8.17e+07"	A		
"443.01885"	"443.018862"	"661"	"5.69e+07"	A		
"443.09959"	"443.099589"	"251"	"1.09e+07"	B		
"443.38377"	"443.383789"	"120"	""			
"443.81173"	"443.811698"	"7"	""			
"443.8808"	"443.880939"	"1"	""			
"443.94611"	"443.946110"	"95"	""			
"443.98786"	"443.987923"	"22"	""			
"444.01213"	"444.012110"	"13"	""			
"444.5846"	"444.584791"	"5"	""			
