obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"573.9520"	"573.95195"	"10"	"8.7e+05"	D		
""	"577.21143"	""	"2.0e+05"	D		
""	"577.4008"	""	"1.1e+05"	D		
""	"578.35365"	""	"8.1e+04"	D		
""	"578.94741"	""	"4.6e+04"	D		
""	"579.0401"	""	"3.4e+04"	D		
""	"580.20798"	""	"4.2e+05"	D		
"583.4263"	"583.42636"	"5"	"5.2e+05"	C		
""	"584.3779"	""	"3.3e+04"	D		
"586.0310"	"586.03102"	"10"	"2.85e+05"	C		
"588.2624"	"588.2624"	"15"	"1.23e+06"	C		
"588.8584"	"588.85835"	"25"	"1.29e+06"	C		
"591.2085"	"591.20850"	"50"	"1.05e+06"	C		
""	"591.6598"	""	"5.9e+04"	D		
""	"592.7125"	""	"3.7e+04"	D+		
"592.8813"	"592.88125"	"15"	"1.1e+06"	D+		
""	"594.0855"	""	"1.2e+05"	D		
"594.2669"	"594.26682"	"5"	"1.8e+05"	D		
""	"594.3888"	""	"3.6e+04"	D		
""	"594.9259"	""	"1.5e+05"	D		
""	"596.448"	""	"7.7e+04"	D		
""	"596.8320"	""	"1.8e+05"	D		
""	"597.1601"	""	"1.1e+06"	D+		
""	"598.1923"	""	"1.2e+04"	D		
"598.7302"	"598.73013"	"7"	"1.2e+05"	D		
""	"598.8144"	""	"6.1e+04"	D		
""	"599.4692"	""	"2.6e+04"	D		
"599.8999"	"599.8998"	"5"	"1.4e+05"	D		
""	"600.5725"	""	"1.4e+05"	D+		
""	"601.36772"	""	"1.4e+05"	D+		
"602.5150"	"602.5150"	"5"	"9.0e+05"	D+		
"603.2127"	"603.21270"	"70"	"2.46e+06"	C		
"604.3223"	"604.32232"	"35"	"1.47e+06"	C		
"605.2723"	"605.27226"	"10"	"1.9e+05"	D+		
"605.9372"	"605.93723"	"20"	"4.2e+05"	C		
""	"606.47502"	""	"5.8e+04"	D		
""	"608.1244"	""	"7.5e+04"	D		
""	"608.5879"	""	"9.0e+03"			
""	"609.07849"	""	"3.0e+05"	D		
"609.8803"	"609.88031"	"7"	"5.2e+05"	D+		
""	"610.1161"	""	"3.3e+05"	D+		
""	"610.4590"	""	"3.4e+05"	D		
"610.5635"	"610.56348"	"10"	"1.21e+06"	C		
""	"611.34657"	""	"4.7e+04"	D+		
""	"611.96565"	""	"5.1e+04"	D+		
""	"612.1879"	""	"1.3e+04"	D		
""	"612.74159"	""	"1.1e+05"	D+		
""	"612.8724"	""	"8.6e+04"	D		
"614.5441"	"614.54412"	"10"	"7.6e+05"	C		
""	"615.52382"	""	"5.1e+05"	D		
""	"616.51229"	""	"9.89e+04"	C		
"617.0174"	"617.01738"	"7"	"5.0e+05"	C		
"617.3096"	"617.3096"	"10"	"6.7e+05"	C		
""	"617.94195"	""	"6.6e+04"	D		
"621.2503"	"621.2503"	"10"	"3.9e+05"	D+		
"621.5938"	"621.59387"	"5"	"5.7e+05"	D+		
""	"623.0921"	""	"1.2e+04"	D		
""	"624.3390"	""	"1.3e+05"	D		
""	"624.47304"	""	"2.0e+04"	D		
""	"624.84057"	""	"6.8e+04"	D		
""	"627.86454"	""	"2.0e+04"	D		
"629.6872"	"629.68726"	"7"	"9.0e+05"	D+		
"630.7657"	"630.76569"	"15"	"6.0e+05"	D+		
""	"630.91603"	""	"7.6e+04"	D		
""	"636.48937"	""	"5.6e+05"	D+		
"636.9575"	"636.95748"	"7"	"4.2e+05"	D+		
"638.4717"	"638.47167"	"20"	"4.21e+05"	C		
"641.6307"	"641.63067"	"70"	"1.16e+06"	C		
""	"643.15549"	""	"5.1e+04"	D		
""	"646.6552"	""	"1.5e+05"	D		
""	"648.11450"	""	"9.4e+04"	D		
""	"649.39688"	""	"3.1e+04"	D		
""	"651.38458"	""	"5.4e+04"	D		
"653.8112"	"653.81117"	"15"	"1.1e+05"	D+		
""	"659.61134"	""	"2.3e+04"	D		
""	"659.86776"	""	"3.6e+04"	D		
""	"660.40114"	""	"2.8e+05"	D+		
"660.4853"	"660.48532"	"15"	"1.3e+04"	D		
""	"663.20841"	""	"5.3e+04"	D		
""	"665.6938"	""	"3.1e+04"	D		
"666.0676"	"666.0677"	"5"	"7.8e+05"	D		
"666.4051"	"666.40506"	"5"	"1.5e+05"	D+		
"667.7282"	"667.72811"	"100"	"2.36e+05"	B		
""	"668.47883"	""	"3.9e+04"	D		
""	"669.84708"	""	"2.5e+04"	D		
""	"669.88740"	""	"1.6e+05"	D+		
""	"671.92185"	""	"2.4e+05"	D		
""	"672.28901"	""	"3.2e+04"	D		
"675.2834"	"675.28335"	"150"	"1.93e+06"	C		
""	"675.43724"	""	"2.1e+05"	D		
"675.6163"	"675.61630"	"5"	"3.6e+05"	D+		
"676.6612"	"676.66113"	"15"	"4.0e+05"	D+		
""	"677.99259"	""	"1.21e+05"	C		
""	"681.82888"	""	"2.0e+05"	D		
""	"682.72488"	""	"2.4e+05"	D		
""	"685.18842"	""	"6.7e+04"	D		
"687.1289"	"687.12889"	"150"	"2.78e+06"	C		
"687.9582"	"687.95825"	"5"	"1.8e+05"	D+		
""	"688.70882"	""	"1.3e+05"	D+		
"688.8174"	"688.81743"	"10"	"2.5e+05"	D+		
""	"692.50094"	""	"1.2e+05"	D+		
"693.7664"	"693.7664"	"50"	"3.08e+06"	C		
"695.1478"	"695.14774"	"7"	"2.2e+05"	D		
"696.0250"	"696.02498"	"7"	"2.4e+05"	D		
"696.5431"	"696.54300"	"10000"	"6.4e+06"	B+		
""	"699.22122"	""	"7.5e+05"	D+		
"703.0251"	"703.02507"	"150"	"2.67e+06"	C		
"706.7218"	"706.72175"	"10000"	"3.8e+06"	B		
"706.8736"	"706.87354"	"100"	"2.0e+06"	D+		
""	"708.67047"	""	"1.5e+05"	D+		
"710.7478"	"710.74772"	"25"	"4.5e+05"	D+		
"712.5820"	"712.58201"	"25"	"6.0e+05"	D+		
"714.7042"	"714.70410"	"1000"	"6.3e+05"	B		
"715.8839"	"715.8839"	"15"	"2.1e+06"	D+		
""	"716.25567"	""	"5.8e+04"	D		
"720.6980"	"720.69805"	"70"	"2.48e+06"	C		
""	"722.994"	""	"6.6e+04"	D		
