obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"387.72381"	"387.724000"	"76"	""			
"387.79543"	"387.795424"	"88"	""			
"387.80470"	"387.804459"	"310"	""			
"387.97960"	"387.979796"	"210"	""			
"388.14978"	"388.149828"	"190"	""			
"388.21428"	"388.214278"	"230"	""			
"388.22141"	"388.221365"	"14"	""			
"388.43180"	"388.431936"	"28"	""			
"388.45243"	"388.452407"	"260"	""			
"388.48190"	"388.482486"	"7000"	""			
"388.49504"	"388.495012"	"79"	""			
"388.50673"	"388.506698"	"220*"	""			
"388.51516"	"388.515152"	"130"	""			
"388.56391"	"388.563980"	"110"	""			
"388.57680"	"388.576779"	"290"	""			
"388.60047"	"388.600448"	"280"	""			
"388.74340"	"388.743374"	"41"	""			
"388.80480"	"388.805304"	"27"	""			
"388.84601"	"388.846144"	"41"	""			
"388.86730"	"388.867297"	"700"	""			
"389.00570"	"389.005935"	"13"	""			
"389.03510"	"389.035285"	"55"	""			
"389.08210"	"389.081709"	"210"	""			
"389.09810"	"389.098107"	"140"	""			
"389.10539"	"389.105410"	"180"	""			
"389.23079"	"389.230814"	"260"	""			
"389.24321"	"389.243318"	"55"	""			
"389.30275"	"389.302760"	"82"	""			
"389.31133"	"389.311319"	"140"	""			
"389.34228"	"389.342251"	"95"	""			
"389.44097"	"389.440967"	"100"	""			
"389.48995"	"389.490034"	"86"	""			
"389.58541"	"389.585964"	"14"	""			
"389.59821"	"389.59865"	"14"	""			
"389.74560"	"389.745509"	"14"	""			
"389.80621"	"389.806157"	"14"	""			
"389.84880"	"389.848817"	"56"	""			
"389.90308"	"389.903164"	"210"	""			
"389.93180"	"389.931840"	"14"	""			
"389.96741"	"389.967393"	"28"	""			
"390.00369"	"390.003655"	"160"	""			
"390.01321"	"390.013199"	"150"	""			
"390.087830"	"390.087823"	"2100"	""			
"390.11520"	"390.115226"	"250"	""			
"390.21174"	"390.211838"	"93"	""			
"390.24740"	"390.247484"	"110"	""			
"390.27310"	"390.273130"	"41"	""			
"390.37640"	"390.376423"	"27"	""			
"390.408264"	"390.408253"	"720"	""			
"390.42000"	"390.420082"	"140"	""			
"390.518634"	"390.518630"	"720"	""			
