obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"580.40900"	"580.40920"	"750"	"1.88e+05"	C+		
"580.44496"	"580.44496"	"5000"	"3.60e+06"	C+		
"581.14066"	"581.14058"	"3000"	"7.37e+05"	C+		
"581.66219"	"581.66224"	"500"	"1.73e+05"	C		
"582.01558"	"582.01548"	"5000"	"8.60e+06"	C+		
"582.89063"	"582.89068"	"750"	"2.87e+05"	C		
"585.24878"	"585.24879"	"20000"	"6.15e+07"	AA		
"586.84165"	"586.84155"	"750"	"8.26e+05"	C+		
"587.21450"	"587.21443"	"750"	"6.69e+05"	C+		
"587.28275"	"587.28261"	"5000"	"6.07e+06"	C+		
"588.18950"	"588.18952"	"10000"	"1.15e+07"	B+		
"589.83287"	"589.83291"	"200"	"2.01e+05"	C		
"590.20944"	"590.20960"	"30"	"7.35e+05"	C+		
"590.24623"	"590.24622"	"500"	"8.56e+06"	C+		
"590.27835"	"590.27848"	"50"	"1.25e+06"	C+		
"590.64294"	"590.64281"	"500"	"4.51e+06"	C+		
"591.3633"	"591.36310"	"2500"	"3.19e+06"	C+		
"591.89068"	"591.89059"	"2500"	"2.97e+06"	C+		
"591.90290"	"591.90328"	"80"	"4.15e+05"	C+		
"593.44522"	"593.44538"	"750"	"1.08e+06"	C+		
"593.93154"	"593.93168"	"500"	"2.00e+05"	B+		
"594.48340"	"594.48342"	"5000"	"1.13e+07"	B+		
"596.16228"	"596.16222"	"700"	"2.28e+06"	C+		
"596.54710"	"596.54704"	"5000"	"6.41e+06"	C+		
"596.61790"	"596.61741"	"350"	"2.42e+05"	C+		
"597.46273"	"597.46282"	"5000"	"6.06e+06"	C+		
"597.55343"	"597.55340"	"6000"	"3.51e+06"	B+		
"598.23753"	"598.23783"	"80"	"9.9e+04"	C		
"598.79074"	"598.79065"	"1500"	"3.63e+06"	C+		
"599.16477"	"599.16502"	"750"	"1.18e+06"	C+		
"600.09275"	"600.09258"	"1000"	"1.14e+06"	C+		
"602.99968"	"602.99969"	"10000"	"5.61e+06"	B+		
"604.2013"	"604.19880"	"150"	"1.56e+05"	C		
"604.61348"	"604.61328"	"500"	"2.26e+05"	B+		
"606.45359"	"606.45355"	"500"	"1.64e+06"	B+		
"607.43376"	"607.43377"	"10000"	"6.03e+07"	B+		
"609.61630"	"609.61631"	"3000"	"1.81e+07"	B+		
"611.80187"	"611.80141"	"150"	"6.09e+05"	B+		
"612.84498"	"612.84499"	"1000"	"6.70e+05"	B+		
"614.2508"	"614.25058"	"1000"	"1.64e+06"	C+		
"614.30627"	"614.30626"	"10000"	"2.82e+07"	B+		
"615.02985"	"615.02964"	"1000"	"1.33e+06"	C+		
"615.61380"	"615.61394"	"500"	"1.72e+05"	C		
"616.35937"	"616.35939"	"10000"	"1.46e+07"	B+		
"617.28156"	"617.28223"	"150"	"4.27e+05"	C		
"617.48829"	"617.48819"	"700"	"7.52e+05"	C+		
"617.52842"	"617.52867"	"500"	"3.00e+05"	C+		
"618.21460"	"618.21463"	"1500"	"3.72e+06"	B+		
"618.31575"	"618.31607"	"50"	"1.18e+05"	C		
"618.90649"	"618.90664"	"700"	"5.88e+05"	C+		
"619.30663"	"619.30659"	"500"	"1.80e+05"	C+		
"620.29740"	"620.29761"	"150"	"2.44e+05"	C		
"620.57775"	"620.57766"	"1000"	"1.52e+06"	C+		
"621.38758"	"621.38757"	"1500"	"2.85e+06"	B+		
"621.72812"	"621.72812"	"10000"	"6.37e+06"	B+		
"622.57350"	"622.57375"	"500"	"6.19e+05"	C+		
"624.67294"	"624.67274"	"1000"	"7.97e+05"	B+		
"624.9593"	"624.95919"	"50"	""			
"625.2732"	"625.27502"	"20"	""			
"625.87884"	"625.87896"	"1000"	"6.06e+05"	C+		
"626.64952"	"626.64950"	"10000"	"2.49e+07"	B+		
"627.30141"	"627.30149"	"700"	"9.94e+05"	C+		
"627.60327"	"627.60343"	"500"	"1.25e+06"	C+		
"629.37447"	"629.37444"	"1000"	"6.39e+05"	B+		
"630.47893"	"630.47889"	"1000"	"4.16e+06"	B+		
"631.36855"	"631.36878"	"1500"	"3.40e+06"	B+		
"632.81646"	"632.81639"	"3000"	"3.39e+06"	B+		
"633.08894"	"633.08928"	"1500"	"1.46e+06"	B+		
"633.44276"	"633.44278"	"10000"	"1.61e+07"	B+		
"635.18532"	"635.18550"	"1000"	"3.45e+05"	B+		
"636.49963"	"636.49969"	"1000"	"1.60e+05"	B+		
"638.29914"	"638.29917"	"10000"	"3.21e+07"	B+		
